Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524535157838,2155601795726009,1.283292,4.0797195,8.6574335
android.sensor.accelerometer,1524535157854,2155601815718196,1.1109096,4.0797195,8.743625
android.sensor.accelerometer,1524535157874,2155601835740071,0.93852705,4.098873,9.040505
android.sensor.accelerometer,1524535157894,2155601855730696,0.94810385,4.0701427,9.136273
android.sensor.accelerometer,1524535157914,2155601875721321,1.091756,4.1180267,8.858546
android.sensor.accelerometer,1524535157934,2155601895743196,1.3120226,4.2521024,8.724471
android.sensor.accelerometer,1524535157954,2155601915733821,1.3694834,4.3861775,8.686164
android.sensor.accelerometer,1524535157974,2155601935724446,1.0821792,4.3861775,9.021352
android.sensor.accelerometer,1524535157994,2155601955716634,0.842759,4.4340615,9.165004
android.sensor.accelerometer,1524535158014,2155601975738509,0.7469909,4.4340615,9.32781
android.sensor.accelerometer,1524535158034,2155601995729134,0.8619126,4.453215,9.394848
android.sensor.accelerometer,1524535158054,2155602015719759,0.5554548,4.663905,9.433155
android.sensor.accelerometer,1524535158074,2155602035741634,-0.17238252,4.9703627,9.557653
android.sensor.accelerometer,1524535158094,2155602055733821,-2.1260512,5.2959743,9.701305
android.sensor.accelerometer,1524535158114,2155602075724446,-4.4340615,5.3821654,11.329363
android.sensor.accelerometer,1524535158134,2155602095715071,-6.090849,5.21936,14.211981
android.sensor.accelerometer,1524535158154,2155602115736946,-6.8665705,5.046977,15.8304615
android.sensor.accelerometer,1524535158174,2155602135727571,-8.303091,4.9703627,16.376339
android.sensor.accelerometer,1524535158194,2155602155718196,-9.241618,4.405331,16.232687
android.sensor.accelerometer,1524535158214,2155602175741634,-9.251195,3.514688,18.971655
android.sensor.accelerometer,1524535158234,2155602195732259,-6.703765,2.2697031,21.528662
android.sensor.accelerometer,1524535158254,2155602215722884,-4.0701427,1.3694834,19.440918
android.sensor.accelerometer,1524535158274,2155602235715071,-1.2162545,0.6895301,16.85518
android.sensor.accelerometer,1524535158294,2155602255736946,0.8523358,0.16280572,17.142485
android.sensor.accelerometer,1524535158314,2155602275727571,2.231396,-0.6703765,16.002844
android.sensor.accelerometer,1524535158334,2155602295718196,3.2273839,-1.1587936,13.781025
android.sensor.accelerometer,1524535158354,2155602315740071,4.4436383,-1.8387469,11.674128
android.sensor.accelerometer,1524535158374,2155602335732259,5.0374002,-2.1547816,10.496181
android.sensor.accelerometer,1524535158394,2155602355722884,5.353435,-2.3463178,8.647857
android.sensor.accelerometer,1524535158414,2155602375744759,5.410896,-1.8195933,5.9759274
android.sensor.accelerometer,1524535158434,2155602395735384,5.650316,-1.5514427,4.960786
android.sensor.accelerometer,1524535158454,2155602415726009,6.4260373,-1.7621324,5.439626
android.sensor.accelerometer,1524535158474,2155602435716634,6.8665705,-1.5705963,5.707777
android.sensor.accelerometer,1524535158494,2155602455740071,7.038953,-0.33518824,2.7964275
android.sensor.accelerometer,1524535158514,2155602475730696,7.1059904,0.22026655,1.4939818
android.sensor.accelerometer,1524535158534,2155602495721321,7.517793,0.545878,0.9672575
android.sensor.accelerometer,1524535158554,2155602515743196,7.632715,0.41180268,-0.24899697
android.sensor.accelerometer,1524535158574,2155602535733821,6.4260373,0.038307227,-1.9536686
android.sensor.accelerometer,1524535158594,2155602555726009,5.592855,-0.61291564,-2.3558946
android.sensor.accelerometer,1524535158614,2155602575716634,6.8761473,-1.6472107,-1.2737153
