Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524535164475,2155608435716634,0.067073,-0.02617994,0.029984757
android.sensor.gyroscope,1524535164495,2155608455738509,0.061889376,-0.0051661744,0.0286234
android.sensor.gyroscope,1524535164516,2155608475729134,0.07061602,0.01881465,0.026720991
android.sensor.gyroscope,1524535164536,2155608495719759,0.07853982,0.044715334,0.03244567
android.sensor.gyroscope,1524535164556,2155608515743196,0.07225663,0.06871361,0.048537605
android.sensor.gyroscope,1524535164576,2155608535733821,0.06981317,0.07661995,0.040072758
android.sensor.gyroscope,1524535164596,2155608555724446,0.06899287,0.089448124,0.033807028
android.sensor.gyroscope,1524535164616,2155608575715071,0.06817256,0.0853466,0.019355701
android.sensor.gyroscope,1524535164636,2155608595738509,0.07880162,0.1128879,0.030543262
android.sensor.gyroscope,1524535164656,2155608615729134,0.07497934,0.11780973,0.019076448
android.sensor.gyroscope,1524535164676,2155608635719759,0.076358154,0.123534404,0.017715093
android.sensor.gyroscope,1524535164696,2155608655741634,0.07199483,0.12025318,0.015271631
android.sensor.gyroscope,1524535164716,2155608675732259,0.07335619,0.12025318,0.006806784
android.sensor.gyroscope,1524535164736,2155608695724446,0.08862782,0.14016739,0.0010821042
android.sensor.gyroscope,1524535164755,2155608715715071,0.08834857,0.13934709,-0.017715093
android.sensor.gyroscope,1524535164776,2155608735736946,0.09080948,0.16388641,-0.010349803
android.sensor.gyroscope,1524535164796,2155608755727571,0.09761626,0.21488494,0.0021816615
android.sensor.gyroscope,1524535164816,2155608775718196,0.103340946,0.27024677,0.027262043
android.sensor.gyroscope,1524535164836,2155608795741634,0.09107128,0.41887903,0.20343557
android.sensor.gyroscope,1524535164856,2155608815732259,0.074717544,0.69294804,0.55114007
android.sensor.gyroscope,1524535164876,2155608835722884,0.056985,0.9359328,0.8892976
android.sensor.gyroscope,1524535164896,2155608855713509,0.029443704,1.0518227,1.1208155
android.sensor.gyroscope,1524535164916,2155608875735384,0.006265732,1.1764567,1.3703452
android.sensor.gyroscope,1524535164936,2155608895727571,-0.02125811,1.289362,1.6114275
android.sensor.gyroscope,1524535164956,2155608915718196,-0.05126032,1.3774313,1.8205879
android.sensor.gyroscope,1524535164976,2155608935740071,-0.08044223,1.4352541,1.9967613
android.sensor.gyroscope,1524535164995,2155608955730696,-0.118350774,1.4330724,2.0804849
android.sensor.gyroscope,1524535165015,2155608975721321,-0.16660912,1.415078,2.1470168
android.sensor.gyroscope,1524535165036,2155608995743196,-0.21106267,1.3777106,2.1693745
android.sensor.gyroscope,1524535165056,2155609015735384,-0.24514894,1.2961688,2.1254795
android.sensor.gyroscope,1524535165076,2155609035726009,-0.28605947,1.211084,2.0761216
android.sensor.gyroscope,1524535165098,2155609055716634,-0.32669073,1.1317239,2.028125
android.sensor.gyroscope,1524535165116,2155609075738509,-0.3678805,1.0518227,1.9836714
android.sensor.gyroscope,1524535165136,2155609095730696,-0.39678314,0.96673787,1.9201239
android.sensor.gyroscope,1524535165156,2155609115721321,-0.4055098,0.8991064,1.8614984
android.sensor.gyroscope,1524535165176,2155609135743196,-0.40987313,0.8200255,1.7878629
android.sensor.gyroscope,1524535165197,2155609155733821,-0.39978513,0.7112217,1.6877857
android.sensor.gyroscope,1524535165216,2155609175724446,-0.37414622,0.5339486,1.5217003
android.sensor.gyroscope,1524535165235,2155609195716634,-0.35751325,0.37196457,1.3842555
android.sensor.gyroscope,1524535165256,2155609215738509,-0.35205036,0.19116591,1.2645434
android.sensor.gyroscope,1524535165275,2155609235729134,-0.3455054,-0.007347836,1.1620053
android.sensor.gyroscope,1524535165296,2155609255719759,-0.31932545,-0.21570525,1.046098
android.sensor.gyroscope,1524535165315,2155609275741634,-0.27488935,-0.40386918,0.9468411
android.sensor.gyroscope,1524535165335,2155609295733821,-0.2187072,-0.6124884,0.8666607
android.sensor.gyroscope,1524535165355,2155609315722884,-0.16552703,-0.85329145,0.79929096
android.sensor.gyroscope,1524535165375,2155609335715071,-0.10498156,-1.0474594,0.7676656
android.sensor.gyroscope,1524535165396,2155609355736946,-0.037088245,-1.2009959,0.74612826
android.sensor.gyroscope,1524535165415,2155609375727571,0.014713125,-1.3621596,0.735761
android.sensor.gyroscope,1524535165435,2155609395718196,0.072797686,-1.5312471,0.7330383
android.sensor.gyroscope,1524535165455,2155609415741634,0.16824974,-1.721331,0.7300363
android.sensor.gyroscope,1524535165475,2155609435732259,0.25905922,-1.9490266,0.69294804
android.sensor.gyroscope,1524535165497,2155609455722884,0.30079004,-2.1745582,0.6618463
android.sensor.gyroscope,1524535165515,2155609475713509,0.3187844,-2.3310966,0.68148124
android.sensor.gyroscope,1524535165535,2155609495735384,0.31688198,-2.5015454,0.7204894
android.sensor.gyroscope,1524535165555,2155609515727571,0.2904228,-2.7450712,0.7112217
android.sensor.gyroscope,1524535165575,2155609535718196,0.20289452,-2.9673216,0.71340334
android.sensor.gyroscope,1524535165596,2155609555740071,0.1055226,-3.0815883,0.7703883
