Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534780237,2155224195730696,0.7565677,4.4915223,8.887277
android.sensor.accelerometer,1524534780254,2155224215721321,0.80445176,4.4723687,8.820239
android.sensor.accelerometer,1524534780274,2155224235743196,0.7757214,4.606444,8.6095495
android.sensor.accelerometer,1524534780294,2155224255733821,0.8331822,4.5872903,8.743625
android.sensor.accelerometer,1524534780314,2155224275726009,0.89064306,4.55856,8.829816
android.sensor.accelerometer,1524534780334,2155224295716634,0.8331822,4.5681367,8.762778
android.sensor.accelerometer,1524534780354,2155224315738509,0.90979666,4.606444,8.686164
android.sensor.accelerometer,1524534780374,2155224335729134,0.89064306,4.6255975,8.896853
android.sensor.accelerometer,1524534780394,2155224355719759,0.7565677,4.663905,8.820239
android.sensor.accelerometer,1524534780414,2155224375741634,0.8331822,4.6926355,8.647857
android.sensor.accelerometer,1524534780434,2155224395733821,0.8810662,4.6830587,8.63828
android.sensor.accelerometer,1524534780454,2155224415724446,0.80445176,4.654328,8.973468
android.sensor.accelerometer,1524534780474,2155224435715071,0.7182605,4.606444,8.983045
android.sensor.accelerometer,1524534780494,2155224455738509,0.6512229,4.596867,8.772355
android.sensor.accelerometer,1524534780514,2155224475727571,0.48841715,4.644751,8.6095495
android.sensor.accelerometer,1524534780534,2155224495719759,0.12449849,4.7788267,8.552089
android.sensor.accelerometer,1524534780554,2155224515741634,0.05746084,4.8937483,10.5919485
android.sensor.accelerometer,1524534780574,2155224535732259,1.4652514,4.31914,12.488156
android.sensor.accelerometer,1524534780594,2155224555722884,2.4037786,3.8786068,11.243171
android.sensor.accelerometer,1524534780614,2155224575715071,5.267244,4.2999864,8.283937
android.sensor.accelerometer,1524534780634,2155224595736946,7.795521,3.9839516,5.1140146
android.sensor.accelerometer,1524534780654,2155224615727571,9.222465,3.514688,5.583278
android.sensor.accelerometer,1524534780674,2155224635718196,10.390836,2.96881,7.0102224
android.sensor.accelerometer,1524534780694,2155224655740071,11.903971,2.873042,7.6614456
android.sensor.accelerometer,1524534780714,2155224675730696,12.899959,2.873042,7.632715
android.sensor.accelerometer,1524534780734,2155224695722884,10.429143,3.9456444,5.3821654
android.sensor.accelerometer,1524534780754,2155224715713509,7.8912888,4.7979803,3.620033
android.sensor.accelerometer,1524534780774,2155224735735384,7.920019,5.21936,3.0454245
android.sensor.accelerometer,1524534780794,2155224755726009,10.726024,5.4779334,3.3039982
android.sensor.accelerometer,1524534780814,2155224775718196,12.401965,5.9663506,3.9264908
android.sensor.accelerometer,1524534780834,2155224795740071,11.377247,6.895301,3.9073372
android.sensor.accelerometer,1524534780854,2155224815730696,11.511322,7.5082164,2.767697
android.sensor.accelerometer,1524534780873,2155224835721321,12.076353,8.590396,1.8579005
android.sensor.accelerometer,1524534780893,2155224855743196,11.463438,9.308656,1.2354081
android.sensor.accelerometer,1524534780914,2155224875733821,10.936713,9.56723,2.7868507
android.sensor.accelerometer,1524534780934,2155224895726009,10.0748005,9.509769,7.0102224
android.sensor.accelerometer,1524534780954,2155224915716634,9.758766,9.260772,7.833828
android.sensor.accelerometer,1524534780974,2155224935738509,10.0748005,9.634268,5.6215854
android.sensor.accelerometer,1524534780993,2155224955729134,6.9048777,9.883265,4.6255975
android.sensor.accelerometer,1524534781014,2155224975721321,4.721366,9.557653,3.1890767
android.sensor.accelerometer,1524534781035,2155224995743196,3.4859576,9.050082,2.8634653
android.sensor.accelerometer,1524534781055,2155225015733821,0.61291564,8.37013,4.050989
android.sensor.accelerometer,1524534781075,2155225035724446,-2.27928,7.144298,2.8443117
android.sensor.accelerometer,1524534781095,2155225055715071,-3.572149,6.2728086,-0.58418524
android.sensor.accelerometer,1524534781115,2155225075736946,-6.799533,6.2823853,-5.00867
android.sensor.accelerometer,1524534781135,2155225095729134,-8.916007,7.0964136,-5.90889
android.sensor.accelerometer,1524534781155,2155225115719759,-10.036493,8.322245,-6.9240313
android.sensor.accelerometer,1524534781175,2155225135741634,-7.6231384,9.184157,-9.423578
android.sensor.accelerometer,1524534781194,2155225155732259,-4.55856,10.180145,-11.87524
android.sensor.accelerometer,1524534781214,2155225175722884,-3.1986535,10.266336,-10.965444
android.sensor.accelerometer,1524534781234,2155225195715071,-1.9249382,9.11712,-9.050082
