Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534771837,2155215795726009,0.08806931,-0.21652554,0.20125392
android.sensor.gyroscope,1524534771855,2155215815716634,0.09761626,-0.23125613,0.2587974
android.sensor.gyroscope,1524534771876,2155215835738509,0.11098549,-0.2527935,0.293704
android.sensor.gyroscope,1524534771897,2155215855729134,0.12025318,-0.28497735,0.27707103
android.sensor.gyroscope,1524534771915,2155215875719759,0.12597786,-0.32424727,0.25115287
android.sensor.gyroscope,1524534771935,2155215895743196,0.13308136,-0.34714597,0.23315853
android.sensor.gyroscope,1524534771955,2155215915733821,0.1319818,-0.37032396,0.20397663
android.sensor.gyroscope,1524534771976,2155215935724446,0.12407546,-0.40523055,0.1696111
android.sensor.gyroscope,1524534771996,2155215955715071,0.1137082,-0.43305108,0.12925908
android.sensor.gyroscope,1524534772016,2155215975736946,0.10580186,-0.4641354,0.0951728
android.sensor.gyroscope,1524534772036,2155215995729134,0.09625491,-0.4886922,0.06080727
android.sensor.gyroscope,1524534772056,2155216015719759,0.08152433,-0.52031755,0.03626794
android.sensor.gyroscope,1524534772076,2155216035741634,0.061889376,-0.5617691,-2.6179937E-4
android.sensor.gyroscope,1524534772097,2155216055732259,0.053162728,-0.58032197,0.011170107
android.sensor.gyroscope,1524534772116,2155216075722884,0.012810716,-0.60704297,0.017174039
android.sensor.gyroscope,1524534772136,2155216095715071,-0.07417649,-0.6981317,-0.10988593
android.sensor.gyroscope,1524534772156,2155216115736946,-0.11780973,-0.79384553,-0.21024236
android.sensor.gyroscope,1524534772176,2155216135727571,-0.17235126,-0.9203819,-0.34224162
android.sensor.gyroscope,1524534772197,2155216155718196,-0.2947861,-1.1633667,-0.6697701
android.sensor.gyroscope,1524534772216,2155216175741634,-0.68148124,-1.9714017,-1.8511311
android.sensor.gyroscope,1524534772236,2155216195732259,-0.8036543,-2.5669954,-2.803976
android.sensor.gyroscope,1524534772256,2155216215722884,-0.31660274,-2.523083,-2.7838001
android.sensor.gyroscope,1524534772276,2155216235713509,0.5181359,-2.237006,-2.4854536
android.sensor.gyroscope,1524534772297,2155216255735384,1.305995,-2.002486,-2.2730122
android.sensor.gyroscope,1524534772316,2155216275726009,1.7518742,-1.9681206,-2.1988356
android.sensor.gyroscope,1524534772336,2155216295718196,2.025664,-2.0409358,-2.249293
android.sensor.gyroscope,1524534772356,2155216315740071,2.4456427,-2.0562072,-2.3084598
android.sensor.gyroscope,1524534772376,2155216335730696,3.1186764,-1.9364952,-2.2413692
android.sensor.gyroscope,1524534772396,2155216355721321,3.8056207,-1.7761343,-2.0957565
android.sensor.gyroscope,1524534772416,2155216375743196,4.1964173,-1.7774956,-1.9138583
android.sensor.gyroscope,1524534772436,2155216395735384,4.3425884,-1.8857584,-1.7303194
android.sensor.gyroscope,1524534772455,2155216415726009,4.346952,-1.9683998,-1.5037059
android.sensor.gyroscope,1524534772476,2155216435716634,4.26541,-2.0101132,-1.2356232
android.sensor.gyroscope,1524534772497,2155216455740071,4.123061,-2.07202,-0.97656405
android.sensor.gyroscope,1524534772516,2155216475729134,3.9577959,-2.0499415,-0.7605796
android.sensor.gyroscope,1524534772536,2155216495721321,3.7808194,-1.9536692,-0.61384976
android.sensor.gyroscope,1524534772556,2155216515743196,3.5593722,-1.8770318,-0.49495792
android.sensor.gyroscope,1524534772575,2155216535733821,3.3414853,-0.8552113,-0.97410315
android.sensor.gyroscope,1524534772597,2155216555724446,2.8233318,2.753798,-3.3521142
android.sensor.gyroscope,1524534772616,2155216575715071,2.180021,4.4734883,-4.6679354
android.sensor.gyroscope,1524534772636,2155216595738509,1.6495979,5.0017295,-5.2070675
android.sensor.gyroscope,1524534772656,2155216615729134,1.289903,4.9190884,-5.2588863
