Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524535181439,2155625395716634,5.267244,5.45878,6.301539
android.sensor.accelerometer,1524535181454,2155625415738509,5.142745,5.45878,6.3302693
android.sensor.accelerometer,1524535181474,2155625435729134,5.133168,5.45878,6.445191
android.sensor.accelerometer,1524535181494,2155625455722884,5.2289367,5.4683566,6.339846
android.sensor.accelerometer,1524535181514,2155625475743196,5.391742,5.4204726,6.042965
android.sensor.accelerometer,1524535181534,2155625495733821,5.3247046,5.449203,5.765238
android.sensor.accelerometer,1524535181554,2155625515724446,5.21936,5.45878,5.899313
android.sensor.accelerometer,1524535181574,2155625535715071,5.3247046,5.45878,6.2345014
android.sensor.accelerometer,1524535181594,2155625555736946,5.2863975,5.3247046,6.540959
android.sensor.accelerometer,1524535181614,2155625575727571,5.2289367,5.2385135,6.588843
android.sensor.accelerometer,1524535181634,2155625595719759,5.21936,5.3247046,6.1770406
android.sensor.accelerometer,1524535181654,2155625615741634,5.094861,5.3438582,6.196194
android.sensor.accelerometer,1524535181674,2155625635732259,5.0374002,5.257667,6.751649
android.sensor.accelerometer,1524535181694,2155625655722884,5.142745,5.2289367,6.9623384
android.sensor.accelerometer,1524535181714,2155625675715071,5.094861,5.209783,6.8186865
android.sensor.accelerometer,1524535181734,2155625695736946,5.0374002,5.209783,6.435614
android.sensor.accelerometer,1524535181754,2155625715727571,5.1810527,5.3247046,5.8322754
android.sensor.accelerometer,1524535181774,2155625735718196,5.1810527,5.3438582,5.631162
android.sensor.accelerometer,1524535181794,2155625755741634,5.2385135,5.142745,6.033388
android.sensor.accelerometer,1524535181814,2155625775732259,6.1770406,4.759673,5.7269306
android.sensor.accelerometer,1524535181834,2155625795722884,6.167464,4.711789,3.5625722
android.sensor.accelerometer,1524535181854,2155625815744759,5.3725886,4.606444,2.825158
android.sensor.accelerometer,1524535181874,2155625835735384,6.129156,4.0318356,2.9017725
android.sensor.accelerometer,1524535181894,2155625855726009,6.2249246,3.667917,3.0071173
android.sensor.accelerometer,1524535181914,2155625875718196,6.090849,3.4284968,2.384625
android.sensor.accelerometer,1524535181934,2155625895740071,6.196194,3.6104562,-1.9728222
android.sensor.accelerometer,1524535181954,2155625915730696,5.161899,3.2369606,-5.889736
