Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524535210120,2155654075716634,-1.8560355,0.1521578,0.4565083
android.sensor.gyroscope,1524535210135,2155654095738509,-3.2430313,0.37496653,-0.09080948
android.sensor.gyroscope,1524535210155,2155654115729134,-5.497787,0.77965605,-0.96047217
android.sensor.gyroscope,1524535210176,2155654135719759,-7.6832533,1.2105429,-1.8582171
android.sensor.gyroscope,1524535210196,2155654155741634,-8.50684,1.4257071,-2.2585607
android.sensor.gyroscope,1524535210216,2155654175733821,-8.49375,1.4753443,-2.3401024
android.sensor.gyroscope,1524535210236,2155654195724446,-8.062601,1.4172597,-2.2503753
android.sensor.gyroscope,1524535210255,2155654215715071,-7.4623647,1.3016317,-2.0758421
android.sensor.gyroscope,1524535210276,2155654235736946,-6.8231378,1.18082,-1.903491
android.sensor.gyroscope,1524535210296,2155654255727571,-6.228644,1.0872703,-1.7537767
android.sensor.gyroscope,1524535210316,2155654275719759,-5.4604197,0.93211055,-1.599699
android.sensor.gyroscope,1524535210336,2155654295741634,-4.538118,0.8456644,-1.5825075
android.sensor.gyroscope,1524535210356,2155654315732259,-4.011517,0.86884236,-1.5726987
android.sensor.gyroscope,1524535210376,2155654335722884,-3.5179205,0.8592954,-1.5361515
android.sensor.gyroscope,1524535210396,2155654355713509,-3.0690393,0.8145626,-1.4758853
android.sensor.gyroscope,1524535210416,2155654375735384,-2.54654,0.738763,-1.4385178
android.sensor.gyroscope,1524535210436,2155654395727571,-2.077483,0.5865877,-1.3539915
android.sensor.gyroscope,1524535210456,2155654415718196,-1.6324239,0.40222856,-1.2484515
android.sensor.gyroscope,1524535210476,2155654435740071,-1.2484515,0.21488494,-1.1510969
android.sensor.gyroscope,1524535210496,2155654455732259,-0.9509252,0.043074727,-1.0602875
android.sensor.gyroscope,1524535210516,2155654475722884,-0.75103265,-0.095434606,-0.9713805
android.sensor.gyroscope,1524535210536,2155654495744759,-0.5972168,-0.22497293,-0.88737774
android.sensor.gyroscope,1524535210556,2155654515735384,-0.5170538,-0.3277903,-0.7922049
android.sensor.gyroscope,1524535210576,2155654535726009,-0.46767843,-0.5012236,-0.64603364
android.sensor.gyroscope,1524535210597,2155654555716634,-0.4742234,-0.7823962,-0.41341615
android.sensor.gyroscope,1524535210616,2155654575738509,-0.59149206,-0.88793623,-0.27296948
android.sensor.gyroscope,1524535210636,2155654595730696,-0.8257502,-0.88111204,-0.16660912
android.sensor.gyroscope,1524535210656,2155654615721321,-1.2926258,-0.6165899,-0.10634291
android.sensor.gyroscope,1524535210676,2155654635743196,-1.8017732,-0.27296948,0.032166418
android.sensor.gyroscope,1524535210696,2155654655733821,-2.1742964,-0.05071927,0.22088887
android.sensor.gyroscope,1524535210716,2155654675724446,-2.4249082,0.061348323,0.45104542
android.sensor.gyroscope,1524535210736,2155654695716634,-2.6207166,0.14589207,0.69703215
android.sensor.gyroscope,1524535210756,2155654715738509,-2.7990718,0.22170918,0.94574153
android.sensor.gyroscope,1524535210776,2155654735729134,-2.9686828,0.25007078,1.194451
android.sensor.gyroscope,1524535210796,2155654755719759,-3.0862308,0.27515116,1.3959842
android.sensor.gyroscope,1524535210816,2155654775741634,-3.1991186,0.30597368,1.5680561
android.sensor.gyroscope,1524535210835,2155654795733821,-3.276297,0.3223274,1.6902292
android.sensor.gyroscope,1524535210856,2155654815724446,-3.3052173,0.34578463,1.7578607
android.sensor.gyroscope,1524535210876,2155654835715071,-3.3463895,0.3861541,1.8006736
android.sensor.gyroscope,1524535210897,2155654855736946,-3.3545752,0.46033058,1.8241309
android.sensor.gyroscope,1524535210916,2155654875727571,-3.2122087,0.5369505,1.7998707
android.sensor.gyroscope,1524535210936,2155654895719759,-3.1115904,0.68312186,1.7578607
android.sensor.gyroscope,1524535210956,2155654915741634,-2.9539697,0.77475166,1.7464113
android.sensor.gyroscope,1524535210976,2155654935732259,-2.668434,0.71530575,1.7341417
android.sensor.gyroscope,1524535210997,2155654955724446,-2.3169246,0.5756794,1.6962332
android.sensor.gyroscope,1524535211016,2155654975715071,-1.9184834,0.4079707,1.6457757
android.sensor.gyroscope,1524535211036,2155654995736946,-1.4996043,0.18161896,1.5822457
android.sensor.gyroscope,1524535211056,2155655015727571,-1.1620053,-0.032986723,1.5263427
android.sensor.gyroscope,1524535211076,2155655035718196,-0.947644,-0.18161896,1.5075282
android.sensor.gyroscope,1524535211097,2155655055740071,-0.77475166,-0.354232,1.5099716
android.sensor.gyroscope,1524535211116,2155655075732259,-0.61086524,-0.5691344,1.5126944
android.sensor.gyroscope,1524535211136,2155655095722884,-0.49467868,-0.77965605,1.4960613
android.sensor.gyroscope,1524535211156,2155655115744759,-0.3787888,-1.0090097,1.421623
