Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534908098,2155352055741634,1.8387469,8.523358,4.4244847
android.sensor.accelerometer,1524534908114,2155352075732259,1.7717092,8.494628,4.3287168
android.sensor.accelerometer,1524534908134,2155352095724446,1.8195933,8.485051,4.501099
android.sensor.accelerometer,1524534908154,2155352115715071,1.8100165,8.561666,4.4915223
android.sensor.accelerometer,1524534908174,2155352135736946,1.6376339,8.647857,4.357447
android.sensor.accelerometer,1524534908194,2155352155727571,1.5801731,8.63828,4.3861775
android.sensor.accelerometer,1524534908214,2155352175719759,1.6663644,8.599973,4.4819455
android.sensor.accelerometer,1524534908234,2155352195741634,1.7717092,8.6095495,4.501099
android.sensor.accelerometer,1524534908254,2155352215732259,1.685518,8.590396,4.673482
android.sensor.accelerometer,1524534908274,2155352235722884,1.7238252,8.552089,4.8458643
android.sensor.accelerometer,1524534908294,2155352255713509,1.685518,8.6095495,4.721366
android.sensor.accelerometer,1524534908314,2155352275736946,1.5801731,8.628703,4.232949
android.sensor.accelerometer,1524534908334,2155352295726009,1.6184803,8.532935,4.453215
android.sensor.accelerometer,1524534908354,2155352315718196,1.4077905,8.379706,4.606444
android.sensor.accelerometer,1524534908374,2155352335740071,1.3024458,8.274361,4.4915223
android.sensor.accelerometer,1524534908394,2155352355730696,1.1109096,8.226477,4.5394063
android.sensor.accelerometer,1524534908414,2155352375721321,0.9768343,8.303091,4.405331
android.sensor.accelerometer,1524534908434,2155352395744759,0.641646,8.159439,4.817134
android.sensor.accelerometer,1524534908454,2155352415735384,0.45968673,8.082825,4.960786
android.sensor.accelerometer,1524534908474,2155352435726009,0.12449849,8.322245,5.401319
android.sensor.accelerometer,1524534908494,2155352455719759,-0.545878,9.030929,4.232949
android.sensor.accelerometer,1524534908514,2155352475738509,-0.7182605,9.672575,4.271256
android.sensor.accelerometer,1524534908534,2155352495730696,-0.92895025,9.844957,4.663905
android.sensor.accelerometer,1524534908554,2155352515721321,-0.6799533,10.295067,6.6654577
android.sensor.accelerometer,1524534908574,2155352535743196,0.4213795,12.392388,7.441179
android.sensor.accelerometer,1524534908594,2155352555733821,2.7102363,13.196839,6.339846
android.sensor.accelerometer,1524534908614,2155352575726009,4.548983,13.455414,5.8226986
android.sensor.accelerometer,1524534908634,2155352595716634,5.765238,13.311762,7.699753
android.sensor.accelerometer,1524534908654,2155352615738509,7.7093296,12.909535,8.6095495
android.sensor.accelerometer,1524534908674,2155352635729134,9.069236,12.641385,6.3206925
android.sensor.accelerometer,1524534908694,2155352655719759,9.816227,12.5743475,1.8770541
android.sensor.accelerometer,1524534908714,2155352675743196,9.423578,12.239159,-1.0821792
