Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534871676,2155315635719759,0.013631022,-0.013351769,0.05290093
android.sensor.gyroscope,1524534871696,2155315655741634,0.01308997,-0.012269665,0.0659909
android.sensor.gyroscope,1524534871716,2155315675732259,0.010349803,-0.018535396,0.06517059
android.sensor.gyroscope,1524534871736,2155315695724446,0.0054454273,-0.027541295,0.06244788
android.sensor.gyroscope,1524534871756,2155315715715071,5.410521E-4,-0.020996312,0.033527777
android.sensor.gyroscope,1524534871775,2155315735736946,-0.0038048178,-0.032724924,0.059986968
android.sensor.gyroscope,1524534871796,2155315755727571,-0.007906342,-0.034348078,0.04363323
android.sensor.gyroscope,1524534871816,2155315775718196,-0.012531464,-0.029164452,0.046355944
android.sensor.gyroscope,1524534871836,2155315795741634,-0.023177972,-0.04717625,0.043895032
android.sensor.gyroscope,1524534871856,2155315815732259,-0.014451326,-0.009267698,0.035709437
android.sensor.gyroscope,1524534871876,2155315835722884,0.0,0.0,0.0
android.sensor.gyroscope,1524534871896,2155315855713509,-0.016074482,0.016894788,0.03190462
android.sensor.gyroscope,1524534871916,2155315875735384,-0.020437805,0.020996312,0.026441738
android.sensor.gyroscope,1524534871936,2155315895726009,-0.020437805,0.04225442,0.03080506
android.sensor.gyroscope,1524534871956,2155315915718196,-0.022619467,0.07417649,0.040631264
android.sensor.gyroscope,1524534871976,2155315935740071,-0.021816615,0.09243264,0.042812925
android.sensor.gyroscope,1524534871996,2155315955730696,-0.029164452,0.10035643,0.037088245
android.sensor.gyroscope,1524534872016,2155315975721321,-0.031346112,0.12025318,0.03817035
android.sensor.gyroscope,1524534872036,2155315995743196,-0.03244567,0.11016518,0.02617994
android.sensor.gyroscope,1524534872056,2155316015735384,-0.035168383,0.10471976,0.009267698
android.sensor.gyroscope,1524534872076,2155316035726009,-0.039531708,0.11671016,-0.0010821042
android.sensor.gyroscope,1524534872096,2155316055716634,-0.045814894,0.12625712,-0.017453292
android.sensor.gyroscope,1524534872116,2155316075738509,-0.050981067,0.13526301,-0.023998277
android.sensor.gyroscope,1524534872136,2155316095729134,-0.05235988,0.15053464,-0.027541295
android.sensor.gyroscope,1524534872156,2155316115719759,-0.06080727,0.16198401,-0.061348323
android.sensor.gyroscope,1524534872176,2155316135743196,-0.06026622,0.1895253,-0.07089528
android.sensor.gyroscope,1524534872196,2155316155733821,-0.054803338,0.22225022,-0.067073
android.sensor.gyroscope,1524534872216,2155316175724446,-0.047717303,0.2838778,-0.039531708
android.sensor.gyroscope,1524534872236,2155316195716634,-0.031346112,0.37932986,0.03626794
android.sensor.gyroscope,1524534872256,2155316215738509,-0.0109083075,0.46523497,0.11206759
android.sensor.gyroscope,1524534872276,2155316235729134,0.006544985,0.46713737,0.12625712
android.sensor.gyroscope,1524534872297,2155316255719759,0.025359634,0.37932986,0.09107128
android.sensor.gyroscope,1524534872316,2155316275741634,0.043895032,0.24979152,0.04553564
android.sensor.gyroscope,1524534872336,2155316295732259,0.06517059,0.1628043,0.037891097
android.sensor.gyroscope,1524534872356,2155316315722884,0.10007718,0.12952088,0.07335619
android.sensor.gyroscope,1524534872376,2155316335715071,0.14425147,0.09325294,0.08562585
android.sensor.gyroscope,1524534872396,2155316355736946,0.19278906,0.03981096,0.11671016
android.sensor.gyroscope,1524534872416,2155316375727571,0.24324654,0.01881465,0.16770868
android.sensor.gyroscope,1524534872436,2155316395718196,0.2912431,-0.033527777,0.19306833
android.sensor.gyroscope,1524534872456,2155316415741634,0.34252086,-0.10962413,0.19661134
android.sensor.gyroscope,1524534872476,2155316435732259,0.39842376,-0.1701696,0.19360937
android.sensor.gyroscope,1524534872497,2155316455724446,0.4529653,-0.1712517,0.21678734
android.sensor.gyroscope,1524534872516,2155316475713509,0.5036846,-0.18133971,0.22661355
android.sensor.gyroscope,1524534872536,2155316495735384,0.5647711,-0.26342255,0.2159845
android.sensor.gyroscope,1524534872556,2155316515727571,0.62367594,-0.31796408,0.21978931
android.sensor.gyroscope,1524534872576,2155316535718196,0.67875856,-0.29969049,0.23724261
android.sensor.gyroscope,1524534872596,2155316555740071,0.7313977,-0.36295867,0.22142991
android.sensor.gyroscope,1524534872616,2155316575730696,0.7859392,-0.44423866,0.20507619
android.sensor.gyroscope,1524534872636,2155316595721321,0.844303,-0.39978513,0.23834217
android.sensor.gyroscope,1524534872656,2155316615744759,0.8895594,-0.4338714,0.22987731
android.sensor.gyroscope,1524534872676,2155316635735384,0.9402961,-0.6056816,0.1968906
android.sensor.gyroscope,1524534872696,2155316655726009,0.9967401,-0.6566801,0.20315632
android.sensor.gyroscope,1524534872716,2155316675718196,1.0370921,-0.5972168,0.2170666
android.sensor.gyroscope,1524534872736,2155316695738509,1.0736393,-0.62613684,0.19170697
android.sensor.gyroscope,1524534872756,2155316715730696,1.1071845,-0.70739937,0.13798574
android.sensor.gyroscope,1524534872776,2155316735721321,1.1298214,-0.66130525,0.09243264
android.sensor.gyroscope,1524534872796,2155316755743196,1.1459134,-0.65449846,0.013631022
android.sensor.gyroscope,1524534872816,2155316775733821,1.1590034,-0.79929096,-0.119991384
android.sensor.gyroscope,1524534872836,2155316795724446,1.1598237,-0.8617563,-0.22279128
android.sensor.gyroscope,1524534872856,2155316815716634,1.1461751,-0.8467465,-0.32614967
android.sensor.gyroscope,1524534872876,2155316835738509,1.1202744,-0.8249299,-0.42214277
android.sensor.gyroscope,1524534872896,2155316855729134,1.1014599,-0.8238478,-0.50014156
android.sensor.gyroscope,1524534872916,2155316875719759,1.0687349,-0.81293947,-0.5644918
android.sensor.gyroscope,1524534872936,2155316895741634,1.0338284,-0.8033925,-0.6324026
android.sensor.gyroscope,1524534872956,2155316915733821,0.992656,-0.8080176,-0.6975732
android.sensor.gyroscope,1524534872976,2155316935724446,0.94738215,-0.8402015,-0.76874775
android.sensor.gyroscope,1524534872996,2155316955715071,0.89202034,-0.85739297,-0.8410218
android.sensor.gyroscope,1524534873015,2155316975736946,0.8243888,-0.8767487,-0.914378
