Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534953474,2155397435733821,2.5474305,8.101978,5.00867
android.sensor.accelerometer,1524534953494,2155397455726009,2.528277,8.121132,4.807557
android.sensor.accelerometer,1524534953514,2155397475716634,2.432509,8.00621,4.912902
android.sensor.accelerometer,1524534953534,2155397495738509,2.336741,7.9391727,5.2768207
android.sensor.accelerometer,1524534953554,2155397515729134,2.3654714,7.9583263,5.2768207
android.sensor.accelerometer,1524534953574,2155397535721321,2.4612393,7.97748,5.0182467
android.sensor.accelerometer,1524534953594,2155397555743196,2.4420857,7.9391727,4.9224787
android.sensor.accelerometer,1524534953614,2155397575733821,2.2888567,7.8912888,5.094861
android.sensor.accelerometer,1524534953634,2155397595724446,2.1643584,7.8625584,5.391742
android.sensor.accelerometer,1524534953654,2155397615715071,2.231396,7.8912888,5.3438582
android.sensor.accelerometer,1524534953674,2155397635738509,2.2218192,7.920019,4.903325
android.sensor.accelerometer,1524534953694,2155397655729134,2.1164744,7.9583263,4.9320555
android.sensor.accelerometer,1524534953714,2155397675719759,2.2601264,8.0445175,5.0757074
android.sensor.accelerometer,1524534953734,2155397695741634,2.3175871,8.255207,4.8458643
android.sensor.accelerometer,1524534953754,2155397715732259,2.3175871,8.743625,4.6160207
android.sensor.accelerometer,1524534953774,2155397735722884,2.1260512,9.586384,4.6830587
android.sensor.accelerometer,1524534953794,2155397755715071,2.336741,10.496181,5.3821654
android.sensor.accelerometer,1524534953814,2155397775736946,2.6431987,12.038046,5.90889
android.sensor.accelerometer,1524534953834,2155397795727571,2.6048915,13.589489,5.851429
android.sensor.accelerometer,1524534953854,2155397815718196,2.6431987,14.393941,6.244078
android.sensor.accelerometer,1524534953874,2155397835741634,3.016694,14.269443,7.1730285
android.sensor.accelerometer,1524534953894,2155397855732259,3.1890767,14.049175,7.2113357
android.sensor.accelerometer,1524534953914,2155397875722884,3.8402996,13.618219,7.153875
android.sensor.accelerometer,1524534953934,2155397895715071,4.903325,12.794614,7.2209125
android.sensor.accelerometer,1524534953954,2155397915735384,4.462792,12.08593,6.531382
android.sensor.accelerometer,1524534953974,2155397935726009,3.5625722,11.137826,6.8665705
android.sensor.accelerometer,1524534953994,2155397955718196,3.3806129,10.247183,7.680599
android.sensor.accelerometer,1524534954014,2155397975740071,2.920926,9.3661175,8.312668
android.sensor.accelerometer,1524534954034,2155397995730696,1.9728222,8.331821,8.207323
android.sensor.accelerometer,1524534954054,2155398015721321,1.1013328,7.489063,7.4603324
android.sensor.accelerometer,1524534954074,2155398035744759,0.30645782,7.0964136,6.0621185
android.sensor.accelerometer,1524534954094,2155398055735384,-0.06703765,6.6846113,5.4204726
android.sensor.accelerometer,1524534954114,2155398075726009,-0.50757074,6.3206925,5.497087
android.sensor.accelerometer,1524534954134,2155398095716634,-1.1492168,6.0046577,5.1906295
android.sensor.accelerometer,1524534954154,2155398115738509,-1.7142484,5.9567738,4.865018
android.sensor.accelerometer,1524534954174,2155398135729134,-1.733402,5.9759274,3.9073372
android.sensor.accelerometer,1524534954194,2155398155719759,-1.733402,6.0142345,2.6527755
android.sensor.accelerometer,1524534954214,2155398175743196,-2.384625,6.253655,0.93852705
android.sensor.accelerometer,1524534954234,2155398195733821,-2.3463178,6.3685765,0.7182605
android.sensor.accelerometer,1524534954254,2155398215724446,-2.2122424,6.2345014,0.2873042
android.sensor.accelerometer,1524534954274,2155398235716634,-2.3654714,6.196194,0.45968673
android.sensor.accelerometer,1524534954294,2155398255738509,-2.336741,6.1387334,1.1204864
android.sensor.accelerometer,1524534954314,2155398275729134,-1.8866309,6.2728086,0.8619126
android.sensor.accelerometer,1524534954334,2155398295719759,-1.091756,6.244078,0.5267244
android.sensor.accelerometer,1524534954354,2155398315741634,-0.79487497,6.4260373,0.79487497
android.sensor.accelerometer,1524534954374,2155398335732259,-0.7757214,6.6750345,0.2777274
android.sensor.accelerometer,1524534954394,2155398355724446,-0.22984336,6.7229185,-0.8810662
android.sensor.accelerometer,1524534954414,2155398375715071,-0.62249243,6.6367273,-1.5801731
android.sensor.accelerometer,1524534954434,2155398395736946,-1.5514427,6.483498,-1.0534488
android.sensor.accelerometer,1524534954454,2155398415727571,-1.8387469,6.4164605,0.22026655
android.sensor.accelerometer,1524534954474,2155398435718196,-1.0342951,6.6367273,0.2777274
android.sensor.accelerometer,1524534954494,2155398455741634,-0.45968673,6.6654577,-1.1013328
android.sensor.accelerometer,1524534954514,2155398475732259,-1.0055647,6.799533,-1.1779473
android.sensor.accelerometer,1524534954534,2155398495722884,-1.2258313,6.9719152,-0.20111294
