Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534937259,2155381215743196,-0.00572468,-0.07771951,-0.00408407
android.sensor.gyroscope,1524534937275,2155381235733821,-0.010349803,-0.067631505,0.002443461
android.sensor.gyroscope,1524534937296,2155381255724446,-0.0095294975,-0.06653195,0.012810716
android.sensor.gyroscope,1524534937316,2155381275715071,-0.0049043754,-0.037350047,0.011990412
android.sensor.gyroscope,1524534937335,2155381295738509,-0.009267698,-0.07199483,0.0286234
android.sensor.gyroscope,1524534937356,2155381315729134,-0.0076270886,-0.053721234,0.014713125
android.sensor.gyroscope,1524534937376,2155381335719759,-0.010088003,-0.067073,0.007906342
android.sensor.gyroscope,1524534937396,2155381355741634,-0.009808751,-0.036808994,0.010088003
android.sensor.gyroscope,1524534937416,2155381375732259,-0.010088003,-0.037891097,0.00572468
android.sensor.gyroscope,1524534937436,2155381395724446,-0.014451326,-0.053721234,0.007906342
android.sensor.gyroscope,1524534937455,2155381415715071,-0.0283616,-0.04335398,0.022078415
android.sensor.gyroscope,1524534937476,2155381435736946,0.0,0.0,0.0
android.sensor.gyroscope,1524534937496,2155381455729134,0.0,0.0,0.0
android.sensor.gyroscope,1524534937516,2155381475719759,-0.018256145,-0.03408628,0.007906342
android.sensor.gyroscope,1524534937536,2155381495741634,-0.018535396,-0.03408628,0.00816814
android.sensor.gyroscope,1524534937556,2155381515732259,0.0,0.0,0.0
android.sensor.gyroscope,1524534937576,2155381535722884,-0.015812684,-0.034906585,-0.010088003
android.sensor.gyroscope,1524534937596,2155381555713509,-0.008988446,-0.054803338,-0.008988446
android.sensor.gyroscope,1524534937616,2155381575736946,0.011170107,-0.06653195,-0.011990412
android.sensor.gyroscope,1524534937636,2155381595727571,0.02289872,-0.0946143,-0.037088245
android.sensor.gyroscope,1524534937656,2155381615718196,0.032166418,-0.10880382,-0.047996555
android.sensor.gyroscope,1524534937676,2155381635740071,0.04171337,-0.11889183,-0.049898963
android.sensor.gyroscope,1524534937696,2155381655730696,0.047438048,-0.14425147,-0.067073
android.sensor.gyroscope,1524534937716,2155381675721321,0.057526052,-0.1628043,-0.07307693
android.sensor.gyroscope,1524534937736,2155381695744759,0.06735226,-0.18842575,-0.07880162
android.sensor.gyroscope,1524534937756,2155381715735384,0.082623884,-0.22142991,-0.08398525
android.sensor.gyroscope,1524534937776,2155381735726009,0.10416125,-0.22743386,-0.061889376
android.sensor.gyroscope,1524534937796,2155381755716634,0.12135274,-0.23970352,-0.054803338
android.sensor.gyroscope,1524534937816,2155381775738509,0.12897983,-0.2653424,-0.061889376
android.sensor.gyroscope,1524534937836,2155381795730696,0.13716543,-0.2912431,-0.06871361
android.sensor.gyroscope,1524534937856,2155381815721321,0.14316936,-0.30787608,-0.07143632
android.sensor.gyroscope,1524534937876,2155381835743196,0.14535102,-0.31087804,-0.067631505
android.sensor.gyroscope,1524534937896,2155381855733821,0.14234905,-0.31932545,-0.07689921
android.sensor.gyroscope,1524534937916,2155381875724446,0.1513375,-0.31278044,-0.0662527
android.sensor.gyroscope,1524534937936,2155381895715071,0.16334537,-0.306794,-0.06571165
android.sensor.gyroscope,1524534937956,2155381915738509,0.17235126,-0.30597368,-0.06871361
android.sensor.gyroscope,1524534937976,2155381935729134,0.18380062,-0.3010693,-0.07417649
android.sensor.gyroscope,1524534937996,2155381955719759,0.18788469,-0.30161035,-0.08806931
android.sensor.gyroscope,1524534938016,2155381975743196,0.1895253,-0.29670596,-0.095713854
android.sensor.gyroscope,1524534938036,2155381995733821,0.19334757,-0.25743607,-0.07389724
android.sensor.gyroscope,1524534938056,2155382015724446,0.19360937,-0.21188296,-0.046076693
android.sensor.gyroscope,1524534938076,2155382035715071,0.1870644,-0.13634512,-0.004363323
