Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524535034095,2155478055722884,0.24899697,9.5385,3.016694
android.sensor.accelerometer,1524535034114,2155478075744759,0.22984336,9.500193,2.9496565
android.sensor.accelerometer,1524535034134,2155478095735384,0.2681506,9.481039,2.930503
android.sensor.accelerometer,1524535034154,2155478115726009,0.37349546,9.5385,2.9400797
android.sensor.accelerometer,1524535034174,2155478135716634,0.38307226,9.595961,2.8443117
android.sensor.accelerometer,1524535034194,2155478155740071,0.29688102,9.548077,2.777274
android.sensor.accelerometer,1524535034214,2155478175730696,0.2681506,9.452309,3.1028855
android.sensor.accelerometer,1524535034234,2155478195721321,0.32561144,9.528923,2.920926
android.sensor.accelerometer,1524535034254,2155478215743196,0.2777274,9.471462,2.566584
android.sensor.accelerometer,1524535034274,2155478235733821,0.11492168,9.346964,2.5953147
android.sensor.accelerometer,1524535034294,2155478255724446,-0.076614454,9.260772,2.930503
android.sensor.accelerometer,1524535034314,2155478275716634,-0.009576807,9.346964,2.8538885
android.sensor.accelerometer,1524535034334,2155478295738509,0.1340753,9.5385,2.5570073
android.sensor.accelerometer,1524535034354,2155478315729134,0.24899697,9.624691,2.4708161
android.sensor.accelerometer,1524535034374,2155478335719759,0.1436521,9.749189,2.4995465
android.sensor.accelerometer,1524535034394,2155478355741634,-0.21068975,10.141838,2.6910827
android.sensor.accelerometer,1524535034414,2155478375732259,-0.36391866,10.7356,2.719813
android.sensor.accelerometer,1524535034434,2155478395724446,-0.45968673,11.061212,2.432509
android.sensor.accelerometer,1524535034454,2155478415715071,-0.34476504,11.195287,2.4420857
android.sensor.accelerometer,1524535034474,2155478435736946,-0.11492168,11.549629,2.719813
android.sensor.accelerometer,1524535034494,2155478455730696,-0.12449849,11.9135475,3.8977604
android.sensor.accelerometer,1524535034514,2155478475719759,-0.5363012,11.856087,4.7309427
android.sensor.accelerometer,1524535034534,2155478495741634,-1.6280571,11.654974,5.353435
android.sensor.accelerometer,1524535034554,2155478515732259,-2.4229321,11.224017,5.947197
android.sensor.accelerometer,1524535034574,2155478535722884,-2.3750482,10.668563,6.4739213
android.sensor.accelerometer,1524535034594,2155478555713509,-2.3654714,10.141838,7.201759
android.sensor.accelerometer,1524535034614,2155478575736946,-2.633622,9.452309,7.565677
android.sensor.accelerometer,1524535034634,2155478595727571,-2.432509,8.743625,7.929596
android.sensor.accelerometer,1524535034654,2155478615718196,-2.3942018,8.571242,7.4028716
android.sensor.accelerometer,1524535034674,2155478635740071,-2.4612393,8.226477,6.4739213
android.sensor.accelerometer,1524535034694,2155478655732259,-2.3942018,7.8050976,5.7365074
android.sensor.accelerometer,1524535034714,2155478675721321,-2.2026656,7.28795,5.7365074
android.sensor.accelerometer,1524535034734,2155478695744759,-2.2505496,6.8665705,5.755661
android.sensor.accelerometer,1524535034754,2155478715735384,-3.1890767,6.3206925,4.759673
android.sensor.accelerometer,1524535034774,2155478735726009,-3.466804,5.889736,4.4340615
android.sensor.accelerometer,1524535034794,2155478755716634,-3.0550013,5.4300494,4.261679
android.sensor.accelerometer,1524535034814,2155478775738509,-2.0685902,4.9799395,3.6966474
android.sensor.accelerometer,1524535034834,2155478795730696,-1.7429788,4.7405195,2.8538885
android.sensor.accelerometer,1524535034854,2155478815721321,-2.1930888,4.7022123,2.2122424
android.sensor.accelerometer,1524535034874,2155478835743196,-1.5801731,4.5777135,2.183512
android.sensor.accelerometer,1524535034894,2155478855733821,-0.35434186,4.4723687,2.27928
android.sensor.accelerometer,1524535034914,2155478875724446,0.8810662,4.0797195,0.60333884
