Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524535043579,2155487535736946,0.0,0.0,0.0
android.sensor.gyroscope,1524535043596,2155487555727571,0.032166418,0.016074482,-0.016632987
android.sensor.gyroscope,1524535043616,2155487575719759,0.05808456,0.017994344,-0.031625368
android.sensor.gyroscope,1524535043636,2155487595741634,0.067631505,0.02289872,-0.031625368
android.sensor.gyroscope,1524535043655,2155487615732259,0.057526052,0.028902652,-0.023439772
android.sensor.gyroscope,1524535043675,2155487635722884,0.051801372,0.010088003,-0.019355701
android.sensor.gyroscope,1524535043695,2155487655715071,0.060528018,0.0076270886,-0.031084314
android.sensor.gyroscope,1524535043716,2155487675736946,0.03408628,0.014172073,-0.013892821
android.sensor.gyroscope,1524535043736,2155487695727571,0.035168383,0.013351769,-0.011990412
android.sensor.gyroscope,1524535043756,2155487715718196,0.082623884,0.002443461,-0.028902652
android.sensor.gyroscope,1524535043776,2155487735740071,0.04907866,-0.0109083075,-0.025080381
android.sensor.gyroscope,1524535043796,2155487755732259,0.04717625,-0.008988446,-0.029164452
android.sensor.gyroscope,1524535043816,2155487775722884,0.061627574,0.0016231562,-0.029722957
android.sensor.gyroscope,1524535043836,2155487795744759,0.04935791,-0.0010821042,-0.02698279
android.sensor.gyroscope,1524535043856,2155487815735384,0.072797686,-0.04499459,-0.059166662
android.sensor.gyroscope,1524535043876,2155487835726009,0.0662527,-0.0659909,-0.07171558
android.sensor.gyroscope,1524535043896,2155487855716634,0.07744026,-0.10634291,-0.10962413
android.sensor.gyroscope,1524535043916,2155487875740071,0.07880162,-0.15816173,-0.14535102
android.sensor.gyroscope,1524535043936,2155487895730696,0.08452629,-0.19442968,-0.1693493
android.sensor.gyroscope,1524535043956,2155487915721321,0.0861669,-0.21978931,-0.18788469
android.sensor.gyroscope,1524535043976,2155487935743196,0.036529742,-0.19060741,-0.19743164
android.sensor.gyroscope,1524535043996,2155487955735384,-0.06462954,-0.10880382,-0.21024236
android.sensor.gyroscope,1524535044016,2155487975726009,-0.17371263,-0.0019024089,-0.218969
android.sensor.gyroscope,1524535044036,2155487995716634,-0.24296728,0.07007497,-0.22088887
android.sensor.gyroscope,1524535044056,2155488015738509,-0.3359759,0.18924604,-0.22333233
android.sensor.gyroscope,1524535044076,2155488035729134,-0.4706804,0.3463257,-0.24106488
android.sensor.gyroscope,1524535044096,2155488055719759,-0.53967327,0.4674166,-0.23479915
android.sensor.gyroscope,1524535044116,2155488075743196,-0.5546831,0.5958554,-0.1794373
android.sensor.gyroscope,1524535044136,2155488095733821,-0.5549449,0.64359015,-0.18352138
android.sensor.gyroscope,1524535044156,2155488115724446,-0.5775818,0.7052177,-0.20233601
android.sensor.gyroscope,1524535044176,2155488135715071,-0.61931264,0.7788532,-0.22579324
android.sensor.gyroscope,1524535044196,2155488155738509,-0.67711794,1.0180156,-0.14753269
android.sensor.gyroscope,1524535044216,2155488175727571,-0.738763,1.3976247,0.044715334
android.sensor.gyroscope,1524535044236,2155488195719759,-0.8145626,1.9326729,0.34742525
android.sensor.gyroscope,1524535044256,2155488215741634,-0.90483105,2.5770833,0.7234913
android.sensor.gyroscope,1524535044276,2155488235732259,-0.97220075,3.1751204,1.1153702
android.sensor.gyroscope,1524535044297,2155488255722884,-0.99646086,3.589095,1.4379767
android.sensor.gyroscope,1524535044316,2155488275713509,-0.9768259,3.7906282,1.6656898
android.sensor.gyroscope,1524535044336,2155488295736946,-0.8502895,3.5727413,1.6512386
android.sensor.gyroscope,1524535044356,2155488315727571,-0.6986728,3.2703106,1.5773413
android.sensor.gyroscope,1524535044376,2155488335718196,-0.5549449,2.971685,1.5143349
android.sensor.gyroscope,1524535044397,2155488355740071,-0.37278488,2.591814,1.428709
android.sensor.gyroscope,1524535044417,2155488375732259,-0.14234905,2.1252003,1.3248097
android.sensor.gyroscope,1524535044436,2155488395722884,0.1237962,1.590152,1.2348205
android.sensor.gyroscope,1524535044455,2155488415713509,0.5508608,0.7166671,1.0962762
android.sensor.gyroscope,1524535044476,2155488435735384,0.9781872,-0.07880162,1.1077256
android.sensor.gyroscope,1524535044497,2155488455726009,1.2574399,-0.5380501,1.302452
android.sensor.gyroscope,1524535044516,2155488475718196,1.4499847,-0.79738855,1.5394328
android.sensor.gyroscope,1524535044536,2155488495740071,1.6981355,-1.1164522,1.8110409
android.sensor.gyroscope,1524535044556,2155488515730696,1.926669,-1.3959842,2.0753012
android.sensor.gyroscope,1524535044576,2155488535721321,2.0474806,-1.5208799,2.2648265
android.sensor.gyroscope,1524535044596,2155488555743196,2.0575686,-1.5154345,2.349091
android.sensor.gyroscope,1524535044616,2155488575735384,1.9452218,-1.373068,2.3714662
android.sensor.gyroscope,1524535044636,2155488595726009,1.7946872,-1.1977322,2.3338194
android.sensor.gyroscope,1524535044656,2155488615716634,1.6771393,-1.1129092,2.2539182
android.sensor.gyroscope,1524535044676,2155488635738509,1.593154,-1.1080048,2.1655695
android.sensor.gyroscope,1524535044696,2155488655729134,1.4857116,-1.0684557,2.067936
android.sensor.gyroscope,1524535044716,2155488675721321,1.3242686,-0.94191927,1.933755
android.sensor.gyroscope,1524535044736,2155488695743196,1.1393684,-0.79138464,1.7600424
android.sensor.gyroscope,1524535044756,2155488715733821,0.9645562,-0.6713933,1.6040623
android.sensor.gyroscope,1524535044776,2155488735724446,0.7946659,-0.54159313,1.4524281
android.sensor.gyroscope,1524535044797,2155488755715071,0.63758624,-0.3817908,1.3193468
android.sensor.gyroscope,1524535044816,2155488775738509,0.47668433,-0.097354464,1.1625464
android.sensor.gyroscope,1524535044836,2155488795729134,0.3697829,0.09599311,1.0387326
android.sensor.gyroscope,1524535044856,2155488815719759,0.26316074,0.07035422,0.94738215
android.sensor.gyroscope,1524535044876,2155488835741634,0.11943288,0.05534439,0.8677428
android.sensor.gyroscope,1524535044896,2155488855732259,-0.042812925,0.14507176,0.7807556
android.sensor.gyroscope,1524535044916,2155488875722884,-0.20998056,0.21542598,0.6899461
android.sensor.gyroscope,1524535044936,2155488895715071,-0.35479054,0.3403392,0.604041
android.sensor.gyroscope,1524535044957,2155488915736946,-0.47013932,0.499042,0.53014374
android.sensor.gyroscope,1524535044976,2155488935727571,-0.5563237,0.6032207,0.43687338
android.sensor.gyroscope,1524535044997,2155488955718196,-0.62367594,0.6626666,0.37660715
android.sensor.gyroscope,1524535045015,2155488975741634,-0.6602231,0.81320125,0.31688198
android.sensor.gyroscope,1524535045037,2155488995732259,-0.6517583,1.161185,0.26724482
android.sensor.gyroscope,1524535045056,2155489015722884,-0.5887694,1.6155117,0.25033256
android.sensor.gyroscope,1524535045076,2155489035713509,-0.5088682,2.022121,0.27897343
android.sensor.gyroscope,1524535045097,2155489055735384,-0.41942006,2.3572767,0.3468842
android.sensor.gyroscope,1524535045116,2155489075726009,-0.29260445,2.7088034,0.44914302
android.sensor.gyroscope,1524535045136,2155489095718196,-0.11534881,3.103946,0.6184923
android.sensor.gyroscope,1524535045156,2155489115740071,0.14753269,3.6540039,0.94492126
android.sensor.gyroscope,1524535045176,2155489135730696,0.39105847,4.126604,1.3245304
android.sensor.gyroscope,1524535045197,2155489155721321,0.5134933,4.2997756,1.6086874
android.sensor.gyroscope,1524535045216,2155489175743196,0.51431364,4.1680555,1.7273175
android.sensor.gyroscope,1524535045236,2155489195735384,0.4777839,3.9498894,1.7695893
android.sensor.gyroscope,1524535045256,2155489215724446,0.45786968,3.6979163,1.751595
android.sensor.gyroscope,1524535045276,2155489235716634,0.4423188,3.4696448,1.748052
android.sensor.gyroscope,1524535045296,2155489255738509,0.41805872,3.226119,1.7202314
android.sensor.gyroscope,1524535045316,2155489275729134,0.34932765,2.9790502,1.6954129
android.sensor.gyroscope,1524535045336,2155489295721321,0.19715239,2.712608,1.6517797
android.sensor.gyroscope,1524535045356,2155489315743196,0.14398967,2.443461,1.5312471
android.sensor.gyroscope,1524535045377,2155489335733821,0.13007939,2.2408283,1.4423401
android.sensor.gyroscope,1524535045398,2155489355724446,0.05644395,1.9817516,1.2784537
android.sensor.gyroscope,1524535045416,2155489375715071,-0.14943509,1.5244229,0.85493207
android.sensor.gyroscope,1524535045436,2155489395738509,-0.44668213,0.9512044,0.23315853
android.sensor.gyroscope,1524535045455,2155489415729134,-0.8399397,0.31932545,-0.5224992
android.sensor.gyroscope,1524535045476,2155489435719759,-1.1609057,-0.13852678,-1.1011806
android.sensor.gyroscope,1524535045496,2155489455743196,-1.5028856,-0.587408,-1.7207725
android.sensor.gyroscope,1524535045516,2155489475733821,-1.9242254,-1.1096455,-2.4513674
android.sensor.gyroscope,1524535045537,2155489495724446,-2.249834,-1.5206181,-2.9809525
android.sensor.gyroscope,1524535045556,2155489515715071,-2.3965466,-1.74505,-3.1914916
android.sensor.gyroscope,1524535045576,2155489535736946,-2.408816,-1.8377619,-3.199939
android.sensor.gyroscope,1524535045596,2155489555727571,-2.3801928,-1.9285889,-3.13695
android.sensor.gyroscope,1524535045616,2155489575718196,-2.3196473,-2.0182986,-3.0071325
android.sensor.gyroscope,1524535045636,2155489595740071,-2.1890094,-2.0027654,-2.7892456
android.sensor.gyroscope,1524535045656,2155489615732259,-2.0232031,-1.9013094,-2.5509033
android.sensor.gyroscope,1524535045676,2155489635722884,-1.8715863,-1.8584964,-2.332458
android.sensor.gyroscope,1524535045696,2155489655715071,-1.7232333,-1.8527718,-2.130925
android.sensor.gyroscope,1524535045716,2155489675736946,-1.5517024,-1.6826022,-1.9280303
android.sensor.gyroscope,1524535045736,2155489695726009,-1.3897184,-1.5162548,-1.736044
android.sensor.gyroscope,1524535045756,2155489715718196,-1.2454495,-1.3569934,-1.5746012
android.sensor.gyroscope,1524535045776,2155489735740071,-1.1085459,-1.1963534,-1.441258
android.sensor.gyroscope,1524535045797,2155489755730696,-0.97410315,-1.0559242,-1.3329952
android.sensor.gyroscope,1524535045816,2155489775721321,-0.84156287,-0.88737774,-1.234262
android.sensor.gyroscope,1524535045836,2155489795744759,-0.716126,-0.716126,-1.0954559
android.sensor.gyroscope,1524535045855,2155489815735384,-0.5996777,-0.5279621,-0.9910154
android.sensor.gyroscope,1524535045876,2155489835726009,-0.4996005,-0.28415707,-0.8922996
android.sensor.gyroscope,1524535045896,2155489855716634,-0.40304887,0.0853466,-0.76084137
android.sensor.gyroscope,1524535045916,2155489875738509,-0.32532936,0.3697829,-0.61030674
android.sensor.gyroscope,1524535045935,2155489895730696,-0.26616272,0.46823692,-0.5080479
android.sensor.gyroscope,1524535045956,2155489915721321,-0.21106267,0.57131606,-0.49659854
