Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534968257,2155412215722884,1.340753,8.772355,4.1276035
android.sensor.accelerometer,1524534968274,2155412235713509,1.4077905,8.801085,3.9073372
android.sensor.accelerometer,1524534968294,2155412255735384,1.6376339,8.772355,4.1659107
android.sensor.accelerometer,1524534968314,2155412275726009,1.6376339,8.7532015,4.3957543
android.sensor.accelerometer,1524534968334,2155412295716634,1.733402,8.647857,4.4915223
android.sensor.accelerometer,1524534968354,2155412315740071,1.6184803,8.6095495,4.6351743
android.sensor.accelerometer,1524534968374,2155412335730696,1.532289,8.66701,4.7884035
android.sensor.accelerometer,1524534968394,2155412355721321,1.6567876,8.7053175,4.510676
android.sensor.accelerometer,1524534968414,2155412375743196,1.7525556,8.695741,4.1659107
android.sensor.accelerometer,1524534968434,2155412395735384,1.7142484,8.63828,4.2521024
android.sensor.accelerometer,1524534968454,2155412415726009,1.4556746,8.686164,4.596867
android.sensor.accelerometer,1524534968474,2155412435716634,1.3215994,8.829816,4.596867
android.sensor.accelerometer,1524534968494,2155412455738509,1.2545617,9.030929,4.5394063
android.sensor.accelerometer,1524534968514,2155412475729134,1.2066777,9.126697,4.7788267
android.sensor.accelerometer,1524534968534,2155412495719759,0.29688102,9.998186,4.8937483
android.sensor.accelerometer,1524534968554,2155412515743196,0.25857377,10.304645,5.8705826
android.sensor.accelerometer,1524534968574,2155412535733821,0.78529817,10.103531,7.28795
android.sensor.accelerometer,1524534968594,2155412555724446,1.292869,9.950302,7.642292
android.sensor.accelerometer,1524534968614,2155412575715071,1.436521,9.825804,7.4507556
android.sensor.accelerometer,1524534968634,2155412595738509,1.7142484,9.787497,6.215348
android.sensor.accelerometer,1524534968654,2155412615729134,2.1164744,9.749189,5.5162406
android.sensor.accelerometer,1524534968674,2155412635719759,2.8060043,9.605537,4.807557
android.sensor.accelerometer,1524534968694,2155412655741634,3.2944214,9.576807,3.572149
android.sensor.accelerometer,1524534968714,2155412675732259,3.8115692,9.490616,3.217807
