Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534977015,2155420975719759,0.0,0.0,0.0
android.sensor.gyroscope,1524534977036,2155420995743196,0.0,0.0,0.0
android.sensor.gyroscope,1524534977056,2155421015733821,5.410521E-4,-0.054803338,0.011990412
android.sensor.gyroscope,1524534977076,2155421035724446,0.016632987,-0.11588986,0.011990412
android.sensor.gyroscope,1524534977096,2155421055715071,0.03080506,-0.14889404,2.6179937E-4
android.sensor.gyroscope,1524534977116,2155421075736946,0.04335398,-0.16989034,-0.0016231562
android.sensor.gyroscope,1524534977136,2155421095729134,0.055902895,-0.18352138,-0.0076270886
android.sensor.gyroscope,1524534977156,2155421115719759,0.054803338,-0.16634732,-0.0076270886
android.sensor.gyroscope,1524534977176,2155421135741634,0.04717625,-0.13252285,0.006544985
android.sensor.gyroscope,1524534977196,2155421155732259,0.04717625,-0.12625712,0.015271631
android.sensor.gyroscope,1524534977216,2155421175722884,0.03626794,-0.0951728,0.02125811
android.sensor.gyroscope,1524534977236,2155421195715071,0.03408628,-0.09653416,0.019634955
android.sensor.gyroscope,1524534977256,2155421215736946,0.028902652,-0.08998918,0.016353736
android.sensor.gyroscope,1524534977276,2155421235727571,0.022078415,-0.046617743,0.022619467
android.sensor.gyroscope,1524534977296,2155421255718196,0.021537364,-0.046617743,0.022619467
android.sensor.gyroscope,1524534977316,2155421275740071,0.031084314,-0.029164452,0.036529742
android.sensor.gyroscope,1524534977336,2155421295732259,0.026441738,-0.018256145,0.02289872
android.sensor.gyroscope,1524534977356,2155421315722884,0.033265974,0.011170107,0.043895032
android.sensor.gyroscope,1524534977376,2155421335713509,0.0,0.0,0.0
android.sensor.gyroscope,1524534977396,2155421355735384,0.025080381,0.057805303,0.08290314
android.sensor.gyroscope,1524534977416,2155421375726009,0.035709437,0.082623884,0.14561282
android.sensor.gyroscope,1524534977436,2155421395718196,0.05808456,0.08834857,0.21678734
android.sensor.gyroscope,1524534977456,2155421415740071,0.09107128,0.026720991,0.27488935
android.sensor.gyroscope,1524534977475,2155421435730696,0.12625712,-0.06925467,0.3155206
android.sensor.gyroscope,1524534977496,2155421455722884,0.16879079,-0.1794373,0.3564137
android.sensor.gyroscope,1524534977516,2155421475743196,0.22252949,-0.30515337,0.38233182
