Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524535086458,2155530415738509,3.3135753,4.4723687,7.881712
android.sensor.accelerometer,1524535086474,2155530435729134,3.2369606,4.4723687,8.0445175
android.sensor.accelerometer,1524535086494,2155530455719759,3.2273839,4.4436383,8.207323
android.sensor.accelerometer,1524535086514,2155530475743196,3.3614593,4.4244847,8.494628
android.sensor.accelerometer,1524535086534,2155530495733821,3.2561142,4.367024,8.0924015
android.sensor.accelerometer,1524535086554,2155530515722884,3.0550013,4.453215,7.728483
android.sensor.accelerometer,1524535086574,2155530535715071,2.825158,4.548983,7.6614456
android.sensor.accelerometer,1524535086594,2155530555736946,2.920926,4.5298295,7.824251
android.sensor.accelerometer,1524535086614,2155530575727571,3.0933087,4.462792,8.24563
android.sensor.accelerometer,1524535086634,2155530595718196,3.217807,4.501099,8.054094
android.sensor.accelerometer,1524535086654,2155530615741634,3.4476504,4.5394063,7.920019
android.sensor.accelerometer,1524535086674,2155530635732259,3.7541082,4.5872903,7.9583263
android.sensor.accelerometer,1524535086694,2155530655722884,3.7732618,4.596867,8.0924015
android.sensor.accelerometer,1524535086714,2155530675713509,3.6583402,4.548983,7.8625584
android.sensor.accelerometer,1524535086734,2155530695735384,3.5625722,4.5681367,7.52737
android.sensor.accelerometer,1524535086754,2155530715726009,3.466804,4.673482,7.52737
android.sensor.accelerometer,1524535086774,2155530735718196,2.528277,4.6255975,7.872135
android.sensor.accelerometer,1524535086794,2155530755740071,1.4556746,4.6926355,9.050082
android.sensor.accelerometer,1524535086814,2155530775730696,0.20111294,5.094861,9.873688
android.sensor.accelerometer,1524535086834,2155530795721321,0.12449849,5.592855,9.959879
android.sensor.accelerometer,1524535086854,2155530815744759,0.9864111,6.167464,9.548077
android.sensor.accelerometer,1524535086874,2155530835735384,1.0726024,7.0581064,9.040505
android.sensor.accelerometer,1524535086894,2155530855726009,4.855441,7.383718,12.880805
android.sensor.accelerometer,1524535086914,2155530875716634,14.81532,6.8569937,22.132
android.sensor.accelerometer,1524535086934,2155530895738509,29.506142,7.086837,28.58677
android.sensor.accelerometer,1524535086954,2155530915730696,34.294544,5.45878,21.729774
android.sensor.accelerometer,1524535086974,2155530935721321,20.705057,5.2289367,12.679692
android.sensor.accelerometer,1524535086994,2155530955743196,13.292608,2.815581,6.6750345
android.sensor.accelerometer,1524535087014,2155530975733821,10.237606,-0.7469909,1.4556746
android.sensor.accelerometer,1524535087034,2155530995724446,5.659893,-6.588843,-1.8195933
android.sensor.accelerometer,1524535087054,2155531015716634,-3.3327289,-15.294161,-2.920926
android.sensor.accelerometer,1524535087074,2155531035738509,-17.33402,-19.776106,1.1109096
android.sensor.accelerometer,1524535087094,2155531055729134,-33.834858,-17.123331,7.7093296
android.sensor.accelerometer,1524535087114,2155531075719759,-43.90966,-11.81778,0.047884032
android.sensor.accelerometer,1524535087134,2155531095741634,-36.564247,-13.790602,-8.580819
android.sensor.accelerometer,1524535087154,2155531115733821,7.8050976,-24.028208,-5.554548
android.sensor.accelerometer,1524535087174,2155531135724446,38.20188,-10.28549,18.435352
android.sensor.accelerometer,1524535087194,2155531155715071,42.61679,12.133814,33.968933
android.sensor.accelerometer,1524535087214,2155531175736946,45.13549,23.376986,18.53112
android.sensor.accelerometer,1524535087234,2155531195727571,44.64707,25.397692,-0.4405331
android.sensor.accelerometer,1524535087254,2155531215719759,35.11815,19.182344,-3.7349546
android.sensor.accelerometer,1524535087274,2155531235741634,27.198132,8.303091,-0.33518824
android.sensor.accelerometer,1524535087294,2155531255732259,17.822437,-4.606444,0.48841715
android.sensor.accelerometer,1524535087314,2155531275722884,1.283292,-18.83758,0.038307227
android.sensor.accelerometer,1524535087334,2155531295713509,-18.550274,-27.064056,10.649409
android.sensor.accelerometer,1524535087354,2155531315736946,-44.991837,-24.076092,21.796812
android.sensor.accelerometer,1524535087374,2155531335727571,-49.521667,-20.140024,12.832921
android.sensor.accelerometer,1524535087394,2155531355718196,-23.597252,-19.670761,-4.146757
android.sensor.accelerometer,1524535087414,2155531375740071,9.653421,-16.041151,-3.323152
android.sensor.accelerometer,1524535087434,2155531395730696,40.5482,12.938266,13.302185
android.sensor.accelerometer,1524535087454,2155531415721321,45.19295,30.119057,-0.019153614
android.sensor.accelerometer,1524535087474,2155531435744759,51.63814,35.980064,-11.702858
android.sensor.accelerometer,1524535087494,2155531455736946,46.179363,27.571627,-12.0571995
android.sensor.accelerometer,1524535087514,2155531475726009,32.953793,10.141838,-4.6255975
android.sensor.accelerometer,1524535087534,2155531495716634,18.65562,-9.3661175,0.60333884
android.sensor.accelerometer,1524535087554,2155531515740071,-3.4284968,-29.343336,6.9048777
android.sensor.accelerometer,1524535087574,2155531535730696,-34.620155,-33.643322,29.6881
android.sensor.accelerometer,1524535087594,2155531555721321,-57.48957,-24.181437,35.127728
android.sensor.accelerometer,1524535087614,2155531575743196,-42.49229,-23.970747,8.762778
android.sensor.accelerometer,1524535087634,2155531595733821,-15.600618,-24.459164,-6.8186865
android.sensor.accelerometer,1524535087654,2155531615724446,19.574993,-20.705057,-3.0550013
android.sensor.accelerometer,1524535087674,2155531635716634,46.2464,5.353435,6.493075
android.sensor.accelerometer,1524535087694,2155531655738509,50.11543,30.818165,-8.542512
android.sensor.accelerometer,1524535087714,2155531675729134,53.62054,30.875626,-11.951855
android.sensor.accelerometer,1524535087734,2155531695719759,43.1914,17.611748,-7.422025
android.sensor.accelerometer,1524535087754,2155531715741634,25.886108,-2.2697031,-2.5570073
android.sensor.accelerometer,1524535087774,2155531735733821,4.146757,-23.913286,7.4986396
android.sensor.accelerometer,1524535087794,2155531755724446,-28.510155,-33.164482,27.418398
android.sensor.accelerometer,1524535087814,2155531775715071,-56.330776,-23.530214,34.304123
android.sensor.accelerometer,1524535087834,2155531795738509,-42.128372,-22.898146,6.5218053
android.sensor.accelerometer,1524535087854,2155531815727571,-16.280571,-21.193474,-5.659893
android.sensor.accelerometer,1524535087874,2155531835719759,17.793707,-14.240712,-3.3423057
android.sensor.accelerometer,1524535087894,2155531855741634,36.133293,7.9008656,4.10845
android.sensor.accelerometer,1524535087914,2155531875732259,44.68538,23.281218,0.21068975
android.sensor.accelerometer,1524535087934,2155531895722884,47.77869,30.05202,-12.976573
android.sensor.accelerometer,1524535087954,2155531915715071,41.917683,23.415293,-18.760965
android.sensor.accelerometer,1524535087974,2155531935736946,20.733788,-4.673482,-5.133168
android.sensor.accelerometer,1524535087994,2155531955727571,-7.1730285,-23.070528,14.863204
android.sensor.accelerometer,1524535088014,2155531975718196,-36.401443,-24.83266,36.25779
android.sensor.accelerometer,1524535088034,2155531995740071,-44.618343,-20.69548,29.410374
android.sensor.accelerometer,1524535088054,2155532015732259,-30.866049,-18.722658,0.5554548
