Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524535069556,2155513515741634,0.0,0.0,0.0
android.sensor.gyroscope,1524535069575,2155513535733821,0.0,0.0,0.0
android.sensor.gyroscope,1524535069595,2155513555724446,0.0,0.0,0.0
android.sensor.gyroscope,1524535069616,2155513575715071,0.0,0.0,0.0
android.sensor.gyroscope,1524535069636,2155513595736946,0.0,0.0,0.0
android.sensor.gyroscope,1524535069656,2155513615727571,0.0,0.0,0.0
android.sensor.gyroscope,1524535069676,2155513635718196,0.011711159,-0.037350047,0.0051661744
android.sensor.gyroscope,1524535069696,2155513655741634,0.016074482,-0.03080506,0.044174284
android.sensor.gyroscope,1524535069716,2155513675732259,0.016353736,-0.025621433,0.04717625
android.sensor.gyroscope,1524535069736,2155513695722884,0.020996312,-0.014713125,0.07361799
android.sensor.gyroscope,1524535069756,2155513715713509,0.02617994,-0.010349803,0.08290314
android.sensor.gyroscope,1524535069776,2155513735736946,0.032986723,-0.012269665,0.08916887
android.sensor.gyroscope,1524535069796,2155513755727571,0.030543262,-0.020996312,0.057526052
android.sensor.gyroscope,1524535069816,2155513775718196,0.0286234,-0.023439772,0.04225442
android.sensor.gyroscope,1524535069836,2155513795740071,0.044436082,-0.03817035,0.03544764
android.sensor.gyroscope,1524535069856,2155513815730696,0.05508259,-0.05508259,2.6179937E-4
android.sensor.gyroscope,1524535069876,2155513835721321,0.024260076,-0.10962413,-0.2827957
android.sensor.gyroscope,1524535069896,2155513855744759,0.018535396,-0.16362461,-0.4273264
android.sensor.gyroscope,1524535069915,2155513875735384,0.056164697,-0.21352358,-0.31742302
android.sensor.gyroscope,1524535069935,2155513895726009,0.0935322,-0.25197318,-0.17261307
android.sensor.gyroscope,1524535069955,2155513915716634,0.11070623,-0.20998056,0.06244788
android.sensor.gyroscope,1524535069975,2155513935740071,0.12707742,-0.14535102,0.32887238
android.sensor.gyroscope,1524535069997,2155513955730696,0.13716543,-0.07389724,0.54703856
android.sensor.gyroscope,1524535070015,2155513975721321,0.14697418,-0.009267698,0.6389476
android.sensor.gyroscope,1524535070036,2155513995743196,0.17779669,0.11016518,0.8410218
android.sensor.gyroscope,1524535070055,2155514015733821,0.21352358,0.30243066,1.1442728
android.sensor.gyroscope,1524535070075,2155514035726009,0.2506118,0.46495572,1.2359025
android.sensor.gyroscope,1524535070097,2155514055716634,0.27024677,0.71638787,1.3018935
android.sensor.gyroscope,1524535070115,2155514075738509,0.26914722,1.4278888,1.8353184
android.sensor.gyroscope,1524535070135,2155514095729134,0.38315213,3.175679,3.8776155
android.sensor.gyroscope,1524535070155,2155514115719759,0.36924186,5.477594,8.048952
android.sensor.gyroscope,1524535070176,2155514135743196,0.06653195,4.6690173,7.192659
android.sensor.gyroscope,1524535070197,2155514155733821,0.0659909,1.7374054,3.3379421
android.sensor.gyroscope,1524535070215,2155514175724446,0.0662527,0.35505232,1.9053934
android.sensor.gyroscope,1524535070235,2155514195715071,0.059707712,-0.67685616,1.0709165
android.sensor.gyroscope,1524535070255,2155514215736946,0.057264253,-1.3458059,0.7093018
android.sensor.gyroscope,1524535070275,2155514235727571,0.06380924,-1.5064286,0.63186157
android.sensor.gyroscope,1524535070296,2155514255719759,0.05454154,-1.530968,0.7131241
android.sensor.gyroscope,1524535070316,2155514275741634,0.02453933,-1.4723423,0.9359328
android.sensor.gyroscope,1524535070335,2155514295732259,-0.034348078,-1.4104354,1.2386253
android.sensor.gyroscope,1524535070355,2155514315722884,-0.10908308,-1.2252735,1.6021425
android.sensor.gyroscope,1524535070375,2155514335713509,-0.22279128,-0.43769366,2.3114617
android.sensor.gyroscope,1524535070397,2155514355736946,-0.5764997,0.7581187,3.5953782
android.sensor.gyroscope,1524535070416,2155514375727571,-1.5268838,1.0420139,4.5902157
android.sensor.gyroscope,1524535070435,2155514395718196,-2.2918267,0.17589428,4.482756
android.sensor.gyroscope,1524535070455,2155514415740071,-2.0709379,-0.72130966,3.7110064
android.sensor.gyroscope,1524535070475,2155514435730696,-1.1560013,-1.3430833,2.464719
android.sensor.gyroscope,1524535070496,2155514455722884,-0.3021514,-1.7971306,1.0537425
android.sensor.gyroscope,1524535070516,2155514475744759,0.14234905,-1.9566711,0.08726646
android.sensor.gyroscope,1524535070535,2155514495735384,0.28579766,-1.9460421,-0.34496433
android.sensor.gyroscope,1524535070555,2155514515726009,0.31988394,-1.7875837,-0.425424
android.sensor.gyroscope,1524535070575,2155514535716634,0.26996753,-1.5596088,-0.18598229
android.sensor.gyroscope,1524535070596,2155514555740071,0.25905922,-1.1739957,0.119991384
android.sensor.gyroscope,1524535070615,2155514575730696,0.28988174,-0.66430724,0.43633232
android.sensor.gyroscope,1524535070635,2155514595721321,0.25033256,-0.29070204,0.74639004
android.sensor.gyroscope,1524535070655,2155514615743196,0.1794373,0.046896998,1.0646509
android.sensor.gyroscope,1524535070675,2155514635733821,-0.07990117,0.21270327,1.5593295
android.sensor.gyroscope,1524535070696,2155514655726009,-0.6367659,-0.12571606,1.9954001
android.sensor.gyroscope,1524535070715,2155514675716634,-1.0695552,-0.4638736,2.2195528
android.sensor.gyroscope,1524535070736,2155514695738509,-1.1006396,-0.8437445,1.8925827
android.sensor.gyroscope,1524535070755,2155514715729134,-0.9059306,-1.620416,0.99237674
android.sensor.gyroscope,1524535070775,2155514735719759,-0.769568,-2.3597374,0.17071065
android.sensor.gyroscope,1524535070796,2155514755743196,-0.5830447,-2.493901,-0.3714235
android.sensor.gyroscope,1524535070815,2155514775733821,-0.3872362,-2.0003045,-0.49549899
android.sensor.gyroscope,1524535070835,2155514795724446,-0.17915805,-1.1167314,-0.23233823
android.sensor.gyroscope,1524535070855,2155514815715071,-0.012269665,-0.50204396,-0.031625368
android.sensor.gyroscope,1524535070876,2155514835738509,0.018535396,-0.37496653,0.034906585
android.sensor.gyroscope,1524535070897,2155514855727571,0.025080381,-0.33433527,0.038711403
android.sensor.gyroscope,1524535070915,2155514875719759,0.031346112,-0.29532716,0.03244567
android.sensor.gyroscope,1524535070935,2155514895741634,0.023439772,-0.2647839,0.0070860367
android.sensor.gyroscope,1524535070955,2155514915732259,-0.062168628,-0.5080479,-0.26124087
android.sensor.gyroscope,1524535070975,2155514935722884,-0.24760985,-0.9408372,-0.354232
android.sensor.gyroscope,1524535070996,2155514955715071,-0.39978513,-1.280356,-0.22987731
android.sensor.gyroscope,1524535071016,2155514975736946,-0.46523497,-1.2713501,0.08480555
android.sensor.gyroscope,1524535071035,2155514995727571,-0.48623127,-0.92474526,0.5535835
android.sensor.gyroscope,1524535071056,2155515015718196,-0.3771482,-0.19388862,0.914378
