Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524534708337,2155152295727571,4.3478703,5.535394,6.933608
android.sensor.accelerometer,1524534708354,2155152315718196,4.2425256,5.631162,6.493075
android.sensor.accelerometer,1524534708374,2155152335741634,4.3478703,5.6407394,6.789956
android.sensor.accelerometer,1524534708394,2155152355732259,4.3382936,5.5641246,7.144298
android.sensor.accelerometer,1524534708414,2155152375722884,4.175488,5.554548,7.192182
android.sensor.accelerometer,1524534708434,2155152395713509,4.405331,5.602432,6.991069
android.sensor.accelerometer,1524534708454,2155152415735384,4.4244847,5.6407394,6.588843
android.sensor.accelerometer,1524534708474,2155152435726009,4.2425256,5.5641246,6.7229185
android.sensor.accelerometer,1524534708494,2155152455718196,4.261679,5.4779334,7.07726
android.sensor.accelerometer,1524534708514,2155152475740071,4.232949,5.583278,6.847417
android.sensor.accelerometer,1524534708534,2155152495730696,4.2999864,5.5641246,6.540959
android.sensor.accelerometer,1524534708554,2155152515721321,4.5872903,5.497087,6.579266
android.sensor.accelerometer,1524534708575,2155152535743196,4.4340615,5.592855,7.0964136
android.sensor.accelerometer,1524534708594,2155152555735384,4.3478703,5.650316,6.8186865
android.sensor.accelerometer,1524534708614,2155152575726009,4.6351743,5.5737014,6.4260373
android.sensor.accelerometer,1524534708634,2155152595716634,4.6926355,5.7269306,6.694188
android.sensor.accelerometer,1524534708654,2155152615738509,5.133168,5.6886234,6.167464
android.sensor.accelerometer,1524534708674,2155152635730696,5.861006,5.746084,5.3725886
android.sensor.accelerometer,1524534708694,2155152655721321,6.4068837,5.6886234,5.7843914
android.sensor.accelerometer,1524534708714,2155152675743196,6.540959,5.4779334,6.483498
android.sensor.accelerometer,1524534708734,2155152695733821,6.9719152,5.9184666,5.9184666
android.sensor.accelerometer,1524534708754,2155152715724446,7.690176,6.215348,4.8841715
android.sensor.accelerometer,1524534708774,2155152735716634,8.111555,6.397307,3.5529952
android.sensor.accelerometer,1524534708794,2155152755738509,8.465898,6.205771,3.9935284
android.sensor.accelerometer,1524534708814,2155152775729134,8.532935,6.4643445,3.3327289
android.sensor.accelerometer,1524534708834,2155152795719759,8.791509,6.3302693,2.2888567
android.sensor.accelerometer,1524534708854,2155152815741634,8.350976,5.90889,3.0933087
android.sensor.accelerometer,1524534708874,2155152835733821,7.335834,5.5737014,3.6296098
android.sensor.accelerometer,1524534708894,2155152855724446,6.933608,5.6886234,3.1507695
android.sensor.accelerometer,1524534708914,2155152875715071,7.3645644,5.746084,1.4748282
android.sensor.accelerometer,1524534708934,2155152895736946,6.703765,5.602432,1.982399
android.sensor.accelerometer,1524534708954,2155152915727571,6.2823853,5.2385135,3.7924154
android.sensor.accelerometer,1524534708974,2155152935718196,6.0142345,4.7884035,5.592855
android.sensor.accelerometer,1524534708994,2155152955741634,6.7612257,5.401319,3.3423057
android.sensor.accelerometer,1524534709014,2155152975732259,7.833828,6.1195793,-2.3942018
android.sensor.accelerometer,1524534709034,2155152995722884,8.504205,6.1004257,-2.1452048
android.sensor.accelerometer,1524534709054,2155153015713509,9.126697,5.3821654,-0.4405331
android.sensor.accelerometer,1524534709074,2155153035736946,9.203311,4.8267107,1.7046716
android.sensor.accelerometer,1524534709094,2155153055727571,8.054094,4.2425256,3.1890767
android.sensor.accelerometer,1524534709114,2155153075718196,6.167464,4.405331,2.480393
android.sensor.accelerometer,1524534709134,2155153095740071,5.7748146,4.003105,-0.9576807
android.sensor.accelerometer,1524534709154,2155153115730696,5.755661,3.5817258,-1.4460979
android.sensor.accelerometer,1524534709174,2155153135721321,4.8267107,3.4763808,-0.9768343
android.sensor.accelerometer,1524534709194,2155153155744759,2.873042,3.7924154,-4.6830587
android.sensor.accelerometer,1524534709214,2155153175735384,1.2162545,4.663905,-8.293514
android.sensor.accelerometer,1524534709234,2155153195726009,1.0055647,4.453215,-6.7803793
android.sensor.accelerometer,1524534709254,2155153215716634,0.6512229,5.00867,-7.785944
android.sensor.accelerometer,1524534709274,2155153235738509,-0.18195933,4.5202527,-10.04607
android.sensor.accelerometer,1524534709294,2155153255730696,-0.4405331,3.466804,-8.772355
android.sensor.accelerometer,1524534709314,2155153275721321,0.5650316,2.2697031,-5.947197
android.sensor.accelerometer,1524534709334,2155153295743196,1.1875241,0.9959879,-3.4572272
android.sensor.accelerometer,1524534709354,2155153315733821,2.0973208,0.0,-2.1547816
android.sensor.accelerometer,1524534709374,2155153335724446,3.2561142,-1.1683705,-1.3790601
android.sensor.accelerometer,1524534709394,2155153355715071,4.271256,-3.0358477,0.5363012
android.sensor.accelerometer,1524534709417,2155153375738509,7.067683,-5.899313,2.4133554
android.sensor.accelerometer,1524534709434,2155153395729134,8.8777,-8.0445175,1.5610195
android.sensor.accelerometer,1524534709454,2155153415719759,9.260772,-11.358093,0.0
