Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524534727838,2155171795732259,0.23261748,-0.2279749,0.28988174
android.sensor.gyroscope,1524534727855,2155171815722884,0.2252522,-0.23860396,0.28934067
android.sensor.gyroscope,1524534727875,2155171835713509,0.20751965,-0.2454282,0.28005552
android.sensor.gyroscope,1524534727896,2155171855736946,0.1693493,-0.24596925,0.2563365
android.sensor.gyroscope,1524534727915,2155171875727571,0.1510757,-0.25033256,0.24652776
android.sensor.gyroscope,1524534727935,2155171895718196,0.108524576,-0.24352579,0.22607249
android.sensor.gyroscope,1524534727955,2155171915740071,0.074717544,-0.24652776,0.20507619
android.sensor.gyroscope,1524534727975,2155171935732259,0.028082348,-0.24925047,0.17261307
android.sensor.gyroscope,1524534727996,2155171955722884,-0.0010821042,-0.24979152,0.15379842
android.sensor.gyroscope,1524534728016,2155171975713509,-0.03598869,-0.2443461,0.1308997
android.sensor.gyroscope,1524534728036,2155171995735384,-0.06270968,-0.24296728,0.103620194
android.sensor.gyroscope,1524534728055,2155172015726009,-0.10389945,-0.24596925,0.07307693
android.sensor.gyroscope,1524534728075,2155172035718196,-0.14507176,-0.2443461,0.05290093
android.sensor.gyroscope,1524534728097,2155172055740071,-0.19334757,-0.23451988,0.013631022
android.sensor.gyroscope,1524534728116,2155172075730696,-0.21380283,-0.23369959,0.0021816615
android.sensor.gyroscope,1524534728136,2155172095721321,-0.2536138,-0.225514,-0.02125811
android.sensor.gyroscope,1524534728156,2155172115744759,-0.26914722,-0.23424064,-0.02617994
android.sensor.gyroscope,1524534728175,2155172135733821,-0.28143433,-0.24870941,-0.030264009
android.sensor.gyroscope,1524534728196,2155172155726009,-0.23397884,-0.2956064,-0.0049043754
android.sensor.gyroscope,1524534728216,2155172175716634,-0.17561503,-0.35287067,0.02617994
android.sensor.gyroscope,1524534728236,2155172195738509,-0.16852899,-0.40196678,0.0376293
android.sensor.gyroscope,1524534728256,2155172215729134,-0.24378759,-0.4213225,0.0054454273
android.sensor.gyroscope,1524534728275,2155172235721321,-0.19743164,-0.52141714,0.08016297
android.sensor.gyroscope,1524534728297,2155172255743196,0.350689,-0.870483,0.42786747
android.sensor.gyroscope,1524534728316,2155172275733821,0.5096885,-1.0709165,0.49195597
android.sensor.gyroscope,1524534728335,2155172295724446,0.47804567,-1.1769977,0.48350856
android.sensor.gyroscope,1524534728355,2155172315715071,0.85819584,-1.4933386,0.59203315
android.sensor.gyroscope,1524534728375,2155172335738509,1.3373586,-1.9124969,0.64739496
android.sensor.gyroscope,1524534728396,2155172355729134,1.6239591,-2.2353828,0.63648665
android.sensor.gyroscope,1524534728415,2155172375719759,1.6995144,-2.414279,0.6446723
android.sensor.gyroscope,1524534728436,2155172395741634,1.7000554,-2.5181785,0.6493148
android.sensor.gyroscope,1524534728456,2155172415732259,1.7126043,-2.6117108,0.6719518
android.sensor.gyroscope,1524534728476,2155172435722884,1.7221339,-2.668713,0.7114835
android.sensor.gyroscope,1524534728497,2155172455716634,1.7668666,-2.7058015,0.76820666
android.sensor.gyroscope,1524534728515,2155172475736946,1.7769547,-2.6809828,0.8298342
android.sensor.gyroscope,1524534728536,2155172495727571,1.6880475,-2.5912554,0.8783893
android.sensor.gyroscope,1524534728556,2155172515718196,1.9234052,-2.5547256,0.894202
android.sensor.gyroscope,1524534728576,2155172535741634,3.0826879,-2.7104266,0.7071201
android.sensor.gyroscope,1524534728597,2155172555732259,6.6306105,-3.3791144,-0.42596504
android.sensor.gyroscope,1524534728616,2155172575722884,-6.0941834,-4.3483133,-2.8181481
android.sensor.gyroscope,1524534728635,2155172595713509,-5.851478,-4.521485,-3.1407723
android.sensor.gyroscope,1524534728656,2155172615735384,-6.269275,-4.525307,-2.9757864
android.sensor.gyroscope,1524534728675,2155172635726009,-6.852599,-4.4014935,-2.6280818
android.sensor.gyroscope,1524534728695,2155172655718196,-7.583176,-4.2046027,-2.1723764
android.sensor.gyroscope,1524534728715,2155172675740071,-8.407304,-3.980712,-1.6861452
android.sensor.gyroscope,1524534728735,2155172695730696,8.609919,-3.776177,-1.2680864
android.sensor.gyroscope,1524534728756,2155172715721321,7.8656926,-3.5776458,-0.80883795
android.sensor.gyroscope,1524534728775,2155172735743196,7.1757464,-3.3532138,-0.354232
android.sensor.gyroscope,1524534728796,2155172755735384,6.5086994,-3.1456766,-0.059445914
android.sensor.gyroscope,1524534728815,2155172775726009,5.913385,-2.9555929,0.102538094
android.sensor.gyroscope,1524534728835,2155172795716634,5.522047,-2.7502549,0.2877001
android.sensor.gyroscope,1524534728856,2155172815738509,5.2092495,-2.582267,0.43441245
android.sensor.gyroscope,1524534728875,2155172835729134,4.8539176,-2.5249853,0.4706804
android.sensor.gyroscope,1524534728896,2155172855721321,4.3944073,-2.4840922,0.41177553
android.sensor.gyroscope,1524534728916,2155172875743196,3.9468875,-2.3662825,0.3697829
android.sensor.gyroscope,1524534728935,2155172895733821,3.5642765,-2.2179296,0.36133552
android.sensor.gyroscope,1524534728955,2155172915724446,3.229121,-2.0913932,0.38097048
android.sensor.gyroscope,1524534728975,2155172935715071,2.9613175,-1.9992049,0.3973242
android.sensor.gyroscope,1524534728996,2155172955738509,2.7682493,-2.0136735,0.38097048
android.sensor.gyroscope,1524534729015,2155172975729134,2.6629884,-2.1671927,0.3187844
android.sensor.gyroscope,1524534729036,2155172995719759,2.7456124,-2.6648908,0.23369959
android.sensor.gyroscope,1524534729056,2155173015741634,3.2378476,-4.066879,0.106901415
android.sensor.gyroscope,1524534729076,2155173035733821,4.761747,-7.8907905,-0.16606808
android.sensor.gyroscope,1524534729096,2155173055724446,5.649404,-10.667767,-0.37224382
android.sensor.gyroscope,1524534729116,2155173075715071,5.543602,-10.94866,-0.44205698
android.sensor.gyroscope,1524534729136,2155173095736946,5.1653543,-10.4757805,-0.4750437
android.sensor.gyroscope,1524534729156,2155173115727571,4.7148323,-9.807371,-0.47804567
android.sensor.gyroscope,1524534729175,2155173135718196,4.247416,-9.0593405,-0.46523497
android.sensor.gyroscope,1524534729197,2155173155740071,3.8214507,-8.312672,-0.4540474
android.sensor.gyroscope,1524534729215,2155173175732259,3.4609182,-7.5867195,-0.4322308
android.sensor.gyroscope,1524534729235,2155173195722884,3.1658528,-6.880402,-0.40496874
android.sensor.gyroscope,1524534729255,2155173215713509,2.9476867,-6.2141747,-0.36487854
android.sensor.gyroscope,1524534729275,2155173235735384,2.7742531,-5.5891376,-0.30841714
android.sensor.gyroscope,1524534729296,2155173255726009,2.6449766,-5.043443,-0.26996753
android.sensor.gyroscope,1524534729315,2155173275718196,2.500987,-4.568661,-0.28169614
android.sensor.gyroscope,1524534729336,2155173295740071,2.364921,-4.1506023,-0.34660494
android.sensor.gyroscope,1524534729356,2155173315730696,2.4734457,-3.6886313,-0.3815115
android.sensor.gyroscope,1524534729376,2155173335721321,3.0251443,-3.0360525,-0.24406683
android.sensor.gyroscope,1524534729396,2155173355743196,3.7459128,-2.2555587,-0.11562806
android.sensor.gyroscope,1524534729416,2155173375735384,4.4282146,-1.4175215,-0.19552924
android.sensor.gyroscope,1524534729436,2155173395726009,4.939282,-0.59939843,-0.53586847
android.sensor.gyroscope,1524534729455,2155173415716634,5.1699796,0.07934267,-0.9871931
android.sensor.gyroscope,1524534729476,2155173435738509,5.1898937,0.637848,-1.3409015
android.sensor.gyroscope,1524534729496,2155173455730696,5.051908,1.0951941,-1.5023445
android.sensor.gyroscope,1524534729515,2155173475721321,4.7871065,1.3651617,-1.603242
android.sensor.gyroscope,1524534729536,2155173495743196,4.4644823,1.4712428,-1.7294991
android.sensor.gyroscope,1524534729556,2155173515733821,4.133149,1.4745239,-1.9190419
android.sensor.gyroscope,1524534729576,2155173535724446,3.8007162,1.4178008,-2.0894732
android.sensor.gyroscope,1524534729596,2155173555716634,3.4791918,1.3845348,-2.1407511
android.sensor.gyroscope,1524534729616,2155173575738509,3.1743176,1.3684429,-2.1369288
android.sensor.gyroscope,1524534729636,2155173595729134,2.8751507,1.3449856,-2.0450196
android.sensor.gyroscope,1524534729655,2155173615719759,2.5890737,1.2896237,-1.886858
android.sensor.gyroscope,1524534729676,2155173635743196,2.3343778,1.1990936,-1.7355031
android.sensor.gyroscope,1524534729696,2155173655733821,2.0911138,1.1025419,-1.6100662
android.sensor.gyroscope,1524534729715,2155173675724446,1.8680433,1.0060078,-1.5105126
android.sensor.gyroscope,1524534729735,2155173695715071,1.6599652,0.90919435,-1.4349748
android.sensor.gyroscope,1524534729756,2155173715736946,1.4704399,0.8235685,-1.359978
android.sensor.gyroscope,1524534729775,2155173735727571,1.3027138,0.7496713,-1.295907
android.sensor.gyroscope,1524534729796,2155173755719759,1.151638,0.7008544,-1.2023573
android.sensor.gyroscope,1524534729816,2155173775741634,1.0114707,0.66240484,-1.0979168
android.sensor.gyroscope,1524534729836,2155173795732259,0.8892976,0.617131,-1.009289
android.sensor.gyroscope,1524534729855,2155173815722884,0.7886619,0.5764997,-0.94328064
android.sensor.gyroscope,1524534729876,2155173835715071,0.6975732,0.5489584,-0.87320566
android.sensor.gyroscope,1524534729896,2155173855735384,0.61384976,0.51867694,-0.8118399
android.sensor.gyroscope,1524534729916,2155173875727571,0.5394115,0.49031535,-0.70193654
android.sensor.gyroscope,1524534729935,2155173895718196,0.47013932,0.45268604,-0.6048613
android.sensor.gyroscope,1524534729956,2155173915740071,0.41259584,0.42242205,-0.5039638
android.sensor.gyroscope,1524534729976,2155173935730696,0.3645993,0.38041195,-0.43004912
android.sensor.gyroscope,1524534729996,2155173955721321,0.33677873,0.320425,-0.42242205
android.sensor.gyroscope,1524534730016,2155173975744759,0.30787608,0.28061405,-0.39978513
android.sensor.gyroscope,1524534730036,2155173995735384,0.27160814,0.25687757,-0.34496433
android.sensor.gyroscope,1524534730055,2155174015726009,0.2378011,0.23970352,-0.28660053
