Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1524535265977,2155709935738509,2.681506,5.5641246,7.4986396
android.sensor.accelerometer,1524535265994,2155709955730696,2.6527755,5.554548,7.690176
android.sensor.accelerometer,1524535266014,2155709975721321,2.6048915,5.439626,7.9870567
android.sensor.accelerometer,1524535266034,2155709995743196,2.5761611,5.3438582,8.034941
android.sensor.accelerometer,1524535266054,2155710015733821,2.8538885,5.449203,7.7667904
android.sensor.accelerometer,1524535266074,2155710035726009,2.767697,5.6120086,7.2783732
android.sensor.accelerometer,1524535266094,2155710055716634,2.6240451,5.6790466,7.249643
android.sensor.accelerometer,1524535266114,2155710075738509,2.5187001,5.5258174,7.651869
android.sensor.accelerometer,1524535266134,2155710095729134,2.5378537,5.410896,7.9487495
android.sensor.accelerometer,1524535266154,2155710115719759,2.7389667,5.4204726,8.034941
android.sensor.accelerometer,1524535266174,2155710135741634,2.7868507,5.602432,7.469909
android.sensor.accelerometer,1524535266194,2155710155733821,2.6719291,5.765238,7.192182
android.sensor.accelerometer,1524535266214,2155710175724446,2.5761611,5.803545,7.1826053
android.sensor.accelerometer,1524535266234,2155710195715071,2.5474305,6.1195793,5.4683566
android.sensor.accelerometer,1524535266254,2155710215736946,2.1930888,6.5218053,5.899313
android.sensor.accelerometer,1524535266274,2155710235727571,2.528277,7.4603324,7.7572136
android.sensor.accelerometer,1524535266294,2155710255719759,3.4284968,9.059659,7.345411
android.sensor.accelerometer,1524535266314,2155710275741634,4.6830587,11.549629,2.528277
android.sensor.accelerometer,1524535266334,2155710295732259,5.3725886,13.101071,-0.6799533
android.sensor.accelerometer,1524535266354,2155710315722884,8.408437,12.679692,-0.7565677
android.sensor.accelerometer,1524535266374,2155710335713509,13.302185,11.942278,5.4300494
android.sensor.accelerometer,1524535266394,2155710355736946,15.44739,11.281479,10.6877165
android.sensor.accelerometer,1524535266414,2155710375727571,15.093047,10.448297,12.488156
android.sensor.accelerometer,1524535266434,2155710395718196,13.292608,9.059659,9.988609
android.sensor.accelerometer,1524535266454,2155710415740071,12.11466,7.2687964,8.944737
android.sensor.accelerometer,1524535266474,2155710435730696,12.459426,5.45878,10.496181
android.sensor.accelerometer,1524535266494,2155710455722884,13.934254,3.8307228,15.102624
android.sensor.accelerometer,1524535266514,2155710475744759,14.891934,2.3942018,16.998833
android.sensor.accelerometer,1524535266534,2155710495735384,13.771448,1.1587936,16.060305
android.sensor.accelerometer,1524535266554,2155710515726009,12.095507,1.0151415,15.849615
android.sensor.accelerometer,1524535266574,2155710535716634,10.323798,0.7757214,14.949395
android.sensor.accelerometer,1524535266594,2155710555740071,7.575254,0.18195933,12.220005
android.sensor.accelerometer,1524535266614,2155710575730696,6.301539,-0.34476504,12.133814
android.sensor.accelerometer,1524535266634,2155710595721321,4.6255975,-0.46926352,12.823344
android.sensor.accelerometer,1524535266654,2155710615743196,3.9743748,-0.6607997,12.076353
android.sensor.accelerometer,1524535266674,2155710635735384,3.9073372,-0.23942018,11.36767
android.sensor.accelerometer,1524535266694,2155710655724446,3.4955344,0.076614454,10.141838
android.sensor.accelerometer,1524535266714,2155710675716634,2.4133554,0.58418524,9.356541
android.sensor.accelerometer,1524535266734,2155710695738509,0.7661445,0.7182605,8.781932
android.sensor.accelerometer,1524535266754,2155710715729134,-0.33518824,0.82360536,8.293514
android.sensor.accelerometer,1524535266774,2155710735721321,-1.0055647,0.9672575,7.335834
android.sensor.accelerometer,1524535266794,2155710755743196,-0.80445176,1.0821792,6.38773
android.sensor.accelerometer,1524535266814,2155710775733821,-0.2873042,1.4269443,5.5737014
android.sensor.accelerometer,1524535266834,2155710795724446,-0.31603462,1.5035586,5.5258174
android.sensor.accelerometer,1524535266854,2155710815715071,-1.0534488,1.4748282,4.6255975
android.sensor.accelerometer,1524535266874,2155710835736946,-1.8962077,1.5993267,4.050989
