Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1524536704036,2157147994355697,-0.020996312,0.36323792,-0.02289872
android.sensor.gyroscope,1524536704054,2157148014347884,-0.029722957,0.3515093,-0.025900686
android.sensor.gyroscope,1524536704074,2157148034369759,-0.046076693,0.35669294,-0.02453933
android.sensor.gyroscope,1524536704094,2157148054360384,-0.06462954,0.36215582,-0.023439772
android.sensor.gyroscope,1524536704114,2157148074351009,-0.08670796,0.3965039,-0.006544985
android.sensor.gyroscope,1524536704134,2157148094374447,-0.1237962,0.45432666,0.057805303
android.sensor.gyroscope,1524536704154,2157148114365072,-0.15570082,0.48214722,0.12243485
android.sensor.gyroscope,1524536704175,2157148134355697,-0.1868026,0.5353099,0.19360937
android.sensor.gyroscope,1524536704194,2157148154346322,-0.22006856,0.59041,0.26316074
android.sensor.gyroscope,1524536704214,2157148174369759,-0.24951227,0.6487563,0.32696998
android.sensor.gyroscope,1524536704234,2157148194358822,-0.26260224,0.65694195,0.36023596
android.sensor.gyroscope,1524536704254,2157148214351009,-0.24678956,0.567232,0.34088024
android.sensor.gyroscope,1524536704274,2157148234372884,-0.20343557,0.42160174,0.2986084
android.sensor.gyroscope,1524536704295,2157148254363509,-0.15926129,0.29696777,0.25661576
android.sensor.gyroscope,1524536704314,2157148274354134,-0.13226105,0.21952751,0.24596925
android.sensor.gyroscope,1524536704334,2157148294346322,-0.11807153,0.16824974,0.25851816
android.sensor.gyroscope,1524536704354,2157148314368197,-0.10061823,0.08644616,0.27843237
android.sensor.gyroscope,1524536704374,2157148334358822,-0.06435029,-0.025900686,0.26234043
android.sensor.gyroscope,1524536704394,2157148354349447,-0.013631022,-0.14835298,0.22987731
android.sensor.gyroscope,1524536704414,2157148374371322,0.039531708,-0.26152015,0.1977109
android.sensor.gyroscope,1524536704434,2157148394363509,0.07990117,-0.3468842,0.17425367
android.sensor.gyroscope,1524536704454,2157148414352572,0.11534881,-0.4046895,0.17343336
android.sensor.gyroscope,1524536704475,2157148434344759,0.14234905,-0.45104542,0.16742943
android.sensor.gyroscope,1524536704494,2157148454366634,0.15680037,-0.46195376,0.18624409
android.sensor.gyroscope,1524536704514,2157148474357259,0.16062266,-0.45186573,0.21434389
android.sensor.gyroscope,1524536704534,2157148494349447,0.17289232,-0.46113345,0.21188296
android.sensor.gyroscope,1524536704554,2157148514371322,0.21024236,-0.5099503,0.17915805
android.sensor.gyroscope,1524536704574,2157148534361947,0.2637018,-0.6043202,0.13716543
android.sensor.gyroscope,1524536704594,2157148554352572,0.34824553,-0.7581187,0.059986968
android.sensor.gyroscope,1524536704614,2157148574374447,0.3937812,-0.8301135,0.0046251225
android.sensor.gyroscope,1524536704634,2157148594365072,0.41015238,-0.8175646,-0.015812684
android.sensor.gyroscope,1524536704654,2157148614357259,0.4164181,-0.8298342,-0.048799407
android.sensor.gyroscope,1524536704674,2157148634347884,0.43059018,-0.8494692,-0.08180358
android.sensor.gyroscope,1524536704694,2157148654369759,0.44069564,-0.8802917,-0.12980014
